Te_eV,ne_cm3,log10_K,K_cm3_s
0.20000000199681048,49999999.5007974,-37.87042,1.3476589504340954e-38
0.20000000199681048,100000000.0,-37.83901,1.4487384947240835e-38
0.20000000199681048,200000001.99681082,-37.80371,1.5714117637710468e-38
0.20000000199681048,499999995.00797296,-37.75084,1.774843236869222e-38
0.20000000199681048,1000000000.0,-37.70581,1.9687474109303e-38
0.20000000199681048,2000000019.9681082,-37.65623,2.2068356952840311e-38
0.20000000199681048,4999999950.07973,-37.58411,2.6054935356534935e-38
0.20000000199681048,10000000000.0,-37.52437,2.989716442977157e-38
0.20000000199681048,20000000199.681084,-37.4594,3.472162161722177e-38
0.20000000199681048,49999999500.797295,-37.36387,4.3264331740099384e-38
0.20000000199681048,100000000000.0,-37.28296,5.212427171226955e-38
0.20000000199681048,200000001996.81082,-37.19324,6.408553289693988e-38
0.20000000199681048,499999995007.97296,-37.05794,8.75104667053998e-38
0.20000000199681048,1000000000000.0,-36.9386,1.1518608035366749e-37
0.20000000199681048,2000000019968.1084,-36.79741,1.594373252686694e-37
0.20000000199681048,4999999950079.7295,-36.56496,2.722952089684446e-37
0.20000000199681048,10000000000000.0,-36.35321,4.433941919873337e-37
0.20000000199681048,20000000199681.082,-36.11589,7.657905451177516e-37
0.20000000199681048,49999999500797.3,-35.76914,1.701609885754195e-36
0.20000000199681048,100000000000000.0,-35.48399,3.281028478734072e-36
0.20000000199681048,200000001996810.84,-35.18291,6.562812551208939e-36
0.20000000199681048,499999995007973.0,-34.77259,1.6881459842551814e-35
0.20000000199681048,1000000000000000.0,-34.46404,3.43526306500663e-35
0.20000000199681048,2000000019968108.2,-34.16503,6.838644059701841e-35
0.2999991332716148,49999999.5007974,-27.99641,1.0083005405163134e-28
0.2999991332716148,100000000.0,-27.97238,1.0656632766360247e-28
0.2999991332716148,200000001.99681082,-27.94513,1.1346711168489163e-28
0.2999991332716148,499999995.00797296,-27.90387,1.2477569570016618e-28
0.2999991332716148,1000000000.0,-27.86841,1.353910636101675e-28
0.2999991332716148,2000000019.9681082,-27.82928,1.4815625784659841e-28
0.2999991332716148,4999999950.07973,-27.77226,1.6894292146535188e-28
0.2999991332716148,10000000000.0,-27.7249,1.884082865659593e-28
0.2999991332716148,20000000199.681084,-27.67332,2.121680573893608e-28
0.2999991332716148,49999999500.797295,-27.59755,2.5260968657405533e-28
0.2999991332716148,100000000000.0,-27.53359,2.9269142562942327e-28
0.2999991332716148,200000001996.81082,-27.46295,3.443895777964294e-28
0.2999991332716148,499999995007.97296,-27.35687,4.396732057879994e-28
0.2999991332716148,1000000000000.0,-27.26284,5.4595896275974515e-28
0.2999991332716148,2000000019968.1084,-27.14977,7.083208079248353e-28
0.2999991332716148,4999999950079.7295,-26.96037,1.0955444422492877e-27
0.2999991332716148,10000000000000.0,-26.78652,1.6348578614094172e-27
0.2999991332716148,20000000199681.082,-26.59027,2.5687982695523077e-27
0.2999991332716148,49999999500797.3,-26.29796,5.035469850434221e-27
0.2999991332716148,100000000000000.0,-26.05311,8.848914522788694e-27
0.2999991332716148,200000001996810.84,-25.79271,1.6117215024459065e-26
0.2999991332716148,499999995007973.0,-25.43327,3.6874827723594943e-26
0.2999991332716148,1000000000000000.0,-25.15464,7.004223569776169e-26
0.2999991332716148,2000000019968108.2,-24.87493,1.3337363877461967e-25
0.4999999950079739,49999999.5007974,-20.07382,8.43684363216429e-21
0.4999999950079739,100000000.0,-20.05674,8.775260142816919e-21
0.4999999950079739,200000001.99681082,-20.03719,9.179309219545752e-21
0.4999999950079739,499999995.00797296,-20.0072,9.835580562269555e-21
0.4999999950079739,1000000000.0,-19.98115,1.0443594479469103e-20
0.4999999950079739,2000000019.9681082,-19.95225,1.1162205146254707e-20
0.4999999950079739,4999999950.07973,-19.90986,1.2306654265367871e-20
0.4999999950079739,10000000000.0,-19.87442,1.3353035389107674e-20
0.4999999950079739,20000000199.681084,-19.83566,1.4599567823947532e-20
0.4999999950079739,49999999500.797295,-19.77859,1.6649837530215928e-20
0.4999999950079739,100000000000.0,-19.73045,1.8601587095808435e-20
0.4999999950079739,200000001996.81082,-19.67739,2.1018900775147574e-20
0.4999999950079739,499999995007.97296,-19.59788,2.5241781323250614e-20
0.4999999950079739,1000000000000.0,-19.52712,2.970845043498242e-20
0.4999999950079739,2000000019968.1084,-19.44198,3.6142650656209355e-20
0.4999999950079739,4999999950079.7295,-19.3015,4.994591802082474e-20
0.4999999950079739,10000000000000.0,-19.17507,6.682362019377885e-20
0.4999999950079739,20000000199681.082,-19.03276,9.273421500158061e-20
0.4999999950079739,49999999500797.3,-18.81808,1.520267460322627e-19
0.4999999950079739,100000000000000.0,-18.63745,2.3043582598334852e-19
0.4999999950079739,200000001996810.84,-18.44509,3.588475620048274e-19
0.4999999950079739,499999995007973.0,-18.1694,6.77017664051825e-19
0.4999999950079739,1000000000000000.0,-17.93952,1.1494233093014357e-18
0.4999999950079739,2000000019968108.2,-17.69488,2.0189241359732417e-18
0.700003159130897,49999999.5007974,-16.63939,2.2940876133810112e-17
0.700003159130897,100000000.0,-16.62645,2.3634694879715707e-17
0.700003159130897,200000001.99681082,-16.61152,2.446132624887066e-17
0.700003159130897,499999995.00797296,-16.5884,2.5798829360403722e-17
0.700003159130897,1000000000.0,-16.56813,2.7031490929881358e-17
0.700003159130897,2000000019.9681082,-16.5455,2.8477378001737427e-17
0.700003159130897,4999999950.07973,-16.51202,3.075955158509086e-17
0.700003159130897,10000000000.0,-16.48377,3.2826909661788413e-17
0.700003159130897,20000000199.681084,-16.45262,3.526793242560146e-17
0.700003159130897,49999999500.797295,-16.4063,3.9237379954485925e-17
0.700003159130897,100000000000.0,-16.36673,4.2980355171855944e-17
0.700003159130897,200000001996.81082,-16.32247,4.7591566494284716e-17
0.700003159130897,499999995007.97296,-16.25444,5.566215290525469e-17
0.700003159130897,1000000000000.0,-16.19228,6.422734947768816e-17
0.700003159130897,2000000019968.1084,-16.11699,7.638533717490666e-17
0.700003159130897,4999999950079.7295,-15.99548,1.0104620329530373e-16
0.700003159130897,10000000000000.0,-15.88961,1.2894069299262983e-16
0.700003159130897,20000000199681.082,-15.77255,1.6883014754068303e-16
0.700003159130897,49999999500797.3,-15.59913,2.5169234090449724e-16
0.700003159130897,100000000000000.0,-15.45699,3.491483548240005e-16
0.700003159130897,200000001996810.84,-15.30657,4.936623428682188e-16
0.700003159130897,499999995007973.0,-15.08271,8.265897203530477e-16
0.700003159130897,1000000000000000.0,-14.88651,1.2986436611095471e-15
0.700003159130897,2000000019968108.2,-14.67406,2.1180684930576738e-15
1.0,49999999.5007974,-14.05945,8.720672959655697e-15
1.0,100000000.0,-14.04939,8.925036481773946e-15
1.0,200000001.99681082,-14.03771,9.168325003703912e-15
1.0,499999995.00797296,-14.01949,9.56114710121143e-15
1.0,1000000000.0,-14.00342,9.921560843118938e-15
1.0,2000000019.9681082,-13.98537,1.034260646160039e-14
1.0,4999999950.07973,-13.9585,1.1002718452957332e-14
1.0,10000000000.0,-13.93566,1.1596848937333672e-14
1.0,20000000199.681084,-13.9103,1.2294192247093789e-14
1.0,49999999500.797295,-13.87223,1.3420540283734767e-14
1.0,100000000000.0,-13.83931,1.4477380871939126e-14
1.0,200000001996.81082,-13.80193,1.5778655710865173e-14
1.0,499999995007.97296,-13.74322,1.8062588999582808e-14
1.0,1000000000000.0,-13.68878,2.047481564181125e-14
1.0,2000000019968.1084,-13.62317,2.3813871179896838e-14
1.0,4999999950079.7295,-13.5199,3.02064717004684e-14
1.0,10000000000000.0,-13.43209,3.6975154724408633e-14
1.0,20000000199681.082,-13.33619,4.611157963373321e-14
1.0,49999999500797.3,-13.19722,6.35009174577494e-14
1.0,100000000000000.0,-13.0863,8.197850612375767e-14
1.0,200000001996810.84,-12.96858,1.0750285545746491e-13
1.0,499999995007973.0,-12.78692,1.6333527948882193e-13
1.0,1000000000000000.0,-12.62424,2.375527159005884e-13
1.0,2000000019968108.2,-12.45197,3.532075676636762e-13
1.4999956513820392,49999999.5007974,-12.02119,9.523794152858943e-13
1.4999956513820392,100000000.0,-12.0138,9.687238673827639e-13
1.4999956513820392,200000001.99681082,-12.00516,9.88188965317058e-13
1.4999956513820392,499999995.00797296,-11.99155,1.0196473620460765e-12
1.4999956513820392,1000000000.0,-11.97943,1.0485037788040055e-12
1.4999956513820392,2000000019.9681082,-11.96574,1.0820815694948578e-12
