Te_eV,ne_cm3,log10_K,K_cm3_s
0.20000000199681048,49999999.5007974,-11.85004,1.4124074510981331e-12
0.20000000199681048,100000000.0,-11.83456,1.4636593115749415e-12
0.20000000199681048,200000001.99681082,-11.81598,1.5276364068745837e-12
0.20000000199681048,499999995.00797296,-11.78592,1.6371180619456374e-12
0.20000000199681048,1000000000.0,-11.75831,1.7445764273137819e-12
0.20000000199681048,2000000019.9681082,-11.72589,1.8797928786478468e-12
0.20000000199681048,4999999950.07973,-11.67515,2.1127591926304475e-12
0.20000000199681048,10000000000.0,-11.63013,2.3435272081111196e-12
0.20000000199681048,20000000199.681084,-11.5784,2.6399761293548087e-12
0.20000000199681048,49999999500.797295,-11.49784,3.1780446899329542e-12
0.20000000199681048,100000000000.0,-11.42622,3.747831007546674e-12
0.20000000199681048,200000001996.81082,-11.34403,4.528662959276592e-12
0.20000000199681048,499999995007.97296,-11.21661,6.072814284943913e-12
0.20000000199681048,1000000000000.0,-11.1027,7.894052311366025e-12
0.20000000199681048,2000000019968.1084,-10.96764,1.077357898557113e-11
0.20000000199681048,4999999950079.7295,-10.74476,1.7998652826622026e-11
0.20000000199681048,10000000000000.0,-10.54067,2.879585645667313e-11
0.20000000199681048,20000000199681.082,-10.31153,4.8805638634232656e-11
0.20000000199681048,49999999500797.3,-9.97941,1.0485520652992576e-10
0.20000000199681048,100000000000000.0,-9.7113,1.9440167385130195e-10
0.20000000199681048,200000001996810.84,-9.4334,3.6863791409739685e-10
0.20000000199681048,499999995007973.0,-9.05681,8.773845851974935e-10
0.20000000199681048,1000000000000000.0,-8.7668,1.7108029875993287e-09
0.20000000199681048,2000000019968108.2,-8.47302,3.3649607280184997e-09
0.2999991332716148,49999999.5007974,-11.9989,1.0025360539605214e-12
0.2999991332716148,100000000.0,-11.98826,1.0274010376136184e-12
0.2999991332716148,200000001.99681082,-11.97544,1.0581810990194885e-12
0.2999991332716148,499999995.00797296,-11.95457,1.1102735659554508e-12
0.2999991332716148,1000000000.0,-11.93528,1.1607000415833938e-12
0.2999991332716148,2000000019.9681082,-11.91261,1.2228973390502234e-12
0.2999991332716148,4999999950.07973,-11.87703,1.3273027677359109e-12
0.2999991332716148,10000000000.0,-11.84528,1.4279730134406816e-12
0.2999991332716148,20000000199.681084,-11.80856,1.5539605883516585e-12
0.2999991332716148,49999999500.797295,-11.75098,1.774271187216525e-12
0.2999991332716148,100000000000.0,-11.69941,1.997974771166966e-12
0.2999991332716148,200000001996.81082,-11.63982,2.2918173347466093e-12
0.2999991332716148,499999995007.97296,-11.54634,2.8422351102319372e-12
0.2999991332716148,1000000000000.0,-11.46095,3.4597920786160186e-12
0.2999991332716148,2000000019968.1084,-11.35665,4.3989598690348415e-12
0.2999991332716148,4999999950079.7295,-11.17965,6.612261186292133e-12
0.2999991332716148,10000000000000.0,-11.01545,9.650504109445914e-12
0.2999991332716148,20000000199681.082,-10.82923,1.4817331594806034e-11
0.2999991332716148,49999999500797.3,-10.55283,2.800077165851665e-11
0.2999991332716148,100000000000000.0,-10.32433,4.738817679002204e-11
0.2999991332716148,200000001996810.84,-10.08514,8.219776329514544e-11
0.2999991332716148,499999995007973.0,-9.75693,1.7501287533187904e-10
0.2999991332716148,1000000000000000.0,-9.49652,3.187718772441133e-10
0.2999991332716148,2000000019968108.2,-9.22354,5.976679948969775e-10
0.4999999950079739,49999999.5007974,-12.17636,6.66254261682855e-13
0.4999999950079739,100000000.0,-12.16985,6.763165265096234e-13
0.4999999950079739,200000001.99681082,-12.16198,6.886840106847568e-13
0.4999999950079739,499999995.00797296,-12.14908,7.094470709461324e-13
0.4999999950079739,1000000000.0,-12.13709,7.293063584978813e-13
0.4999999950079739,2000000019.9681082,-12.12296,7.534249535408167e-13
0.4999999950079739,4999999950.07973,-12.10069,7.930672209655685e-13
0.4999999950079739,10000000000.0,-12.08068,8.304624494808545e-13
0.4999999950079739,20000000199.681084,-12.05738,8.762337965324855e-13
0.4999999950079739,49999999500.797295,-12.02055,9.537839280874832e-13
0.4999999950079739,100000000000.0,-11.98731,1.0296508918429287e-12
0.4999999950079739,200000001996.81082,-11.9486,1.1256412505761078e-12
0.4999999950079739,499999995007.97296,-11.88711,1.2968507573676393e-12
0.4999999950079739,1000000000000.0,-11.82975,1.4799600765116767e-12
0.4999999950079739,2000000019968.1084,-11.75853,1.7436929032669693e-12
0.4999999950079739,4999999950079.7295,-11.63727,2.3053135343599424e-12
0.4999999950079739,10000000000000.0,-11.52511,2.984626563943781e-12
0.4999999950079739,20000000199681.082,-11.39658,4.012545776298924e-12
0.4999999950079739,49999999500797.3,-11.20068,6.299701910799812e-12
0.4999999950079739,100000000000000.0,-11.03632,9.197716092463754e-12
0.4999999950079739,200000001996810.84,-10.86329,1.3699666658713033e-11
0.4999999950079739,499999995007973.0,-10.61579,2.4222000011491596e-11
0.4999999950079739,1000000000000000.0,-10.40337,3.950299283561506e-11
0.4999999950079739,2000000019968108.2,-10.16673,6.811927232143546e-11
0.700003159130897,49999999.5007974,-12.28986,5.130267376186469e-13
0.700003159130897,100000000.0,-12.2852,5.185611776858401e-13
0.700003159130897,200000001.99681082,-12.27955,5.253515282983632e-13
0.700003159130897,499999995.00797296,-12.27025,5.367227449787304e-13
0.700003159130897,1000000000.0,-12.26159,5.475326225631673e-13
0.700003159130897,2000000019.9681082,-12.25137,5.605701911261e-13
0.700003159130897,4999999950.07973,-12.2352,5.818352110480708e-13
0.700003159130897,10000000000.0,-12.22061,6.017138388923539e-13
0.700003159130897,20000000199.681084,-12.20356,6.258063995996261e-13
0.700003159130897,49999999500.797295,-12.17648,6.660701942581507e-13
0.700003159130897,100000000000.0,-12.15193,7.04806661224257e-13
0.700003159130897,200000001996.81082,-12.12319,7.530260494135291e-13
0.700003159130897,499999995007.97296,-12.07707,8.37394299234711e-13
0.700003159130897,1000000000000.0,-12.03331,9.261684870329596e-13
0.700003159130897,2000000019968.1084,-11.97838,1.0510418283366525e-12
0.700003159130897,4999999950079.7295,-11.88494,1.3033468300333998e-12
0.700003159130897,10000000000000.0,-11.79878,1.5893516605459975e-12
0.700003159130897,20000000199681.082,-11.69921,1.9988950844455163e-12
0.700003159130897,49999999500797.3,-11.54646,2.8414498801370134e-12
0.700003159130897,100000000000000.0,-11.41948,3.8064488654241335e-12
0.700003159130897,200000001996810.84,-11.28518,5.185850588604703e-12
0.700003159130897,499999995007973.0,-11.08358,8.24935512744886e-12
0.700003159130897,1000000000000000.0,-10.90096,1.2561456536573444e-11
0.700003159130897,2000000019968108.2,-10.69436,2.0213429309514816e-11
1.0,49999999.5007974,-12.40895,3.899868829912154e-13
1.0,100000000.0,-12.40571,3.929072114860174e-13
1.0,200000001.99681082,-12.40177,3.9648795653308383e-13
1.0,499999995.00797296,-12.39527,4.024667437713043e-13
1.0,1000000000.0,-12.3892,4.081313915969715e-13
1.0,2000000019.9681082,-12.38201,4.149444880744365e-13
1.0,4999999950.07973,-12.37062,4.259709671925237e-13
1.0,10000000000.0,-12.36029,4.362244462314789e-13
1.0,20000000199.681084,-12.34818,4.4855943907071257e-13
1.0,49999999500.797295,-12.32885,4.689753325172631e-13
1.0,100000000000.0,-12.31124,4.883823946705128e-13
1.0,200000001996.81082,-12.29053,5.122358850410003e-13
1.0,499999995007.97296,-12.25698,5.5337559251676e-13
1.0,1000000000000.0,-12.2248,5.959365192559373e-13
1.0,2000000019968.1084,-12.18433,6.541389356916616e-13
1.0,4999999950079.7295,-12.116,7.655966069112569e-13
1.0,10000000000000.0,-12.05304,8.850340914246049e-13
1.0,20000000199681.082,-11.97956,1.048189970781148e-12
1.0,49999999500797.3,-11.86665,1.359408559108896e-12
1.0,100000000000000.0,-11.77322,1.68569888673891e-12
1.0,200000001996810.84,-11.67221,2.127110248275606e-12
1.0,499999995007973.0,-11.51195,3.0764509838614377e-12
1.0,1000000000000000.0,-11.36214,4.343701771985989e-12
1.0,2000000019968108.2,-11.19568,6.372649020926925e-12
1.4999956513820392,49999999.5007974,-12.54424,2.8560118167405183e-13
1.4999956513820392,100000000.0,-12.54215,2.869789220750562e-13
1.4999956513820392,200000001.99681082,-12.53959,2.886755487184531e-13
1.4999956513820392,499999995.00797296,-12.53533,2.9152110401108097e-13
1.4999956513820392,1000000000.0,-12.53134,2.942117410217595e-13
1.4999956513820392,2000000019.9681082,-12.52661,2.9743358107236607e-13
1.4999956513820392,4999999950.07973,-12.51908,3.0263559013939983e-13
1.4999956513820392,10000000000.0,-12.51222,3.074538954928103e-13
1.4999956513820392,20000000199.681084,-12.50414,3.132275835119115e-13
1.4999956513820392,49999999500.797295,-12.49119,3.227081992968968e-13
1.4999956513820392,100000000000.0,-12.47934,3.3163472605669503e-13
1.4999956513820392,200000001996.81082,-12.46532,3.425153189317678e-13
1.4999956513820392,499999995007.97296,-12.4424,3.610771451003536e-13
1.4999956513820392,1000000000000.0,-12.42028,3.7994435815780503e-13
1.4999956513820392,2000000019968.1084,-12.39255,4.0499531564350863e-13
1.4999956513820392,4999999950079.7295,-12.34608,4.5073366868369543e-13
1.4999956513820392,10000000000000.0,-12.30313,4.97588116616877e-13
1.4999956513820392,20000000199681.082,-12.25255,5.590491609521786e-13
1.4999956513820392,49999999500797.3,-12.175,6.683439175686135e-13
1.4999956513820392,100000000000000.0,-12.11056,7.752468316528769e-13
1.4999956513820392,200000001996810.84,-12.03829,9.156088884068387e-13
1.4999956513820392,499999995007973.0,-11.91804,1.2077025964643157e-12
1.4999956513820392,1000000000000000.0,-11.80583,1.563759640091332e-12
1.4999956513820392,2000000019968108.2,-11.68728,2.0545655415261736e-12
2.0000000199681045,49999999.5007974,-12.64088,2.286230424921143e-13
2.0000000199681045,100000000.0,-12.63936,2.2942460888127075e-13
2.0000000199681045,200000001.99681082,-12.6375,2.3040929760558493e-13
2.0000000199681045,499999995.00797296,-12.6344,2.3205984615989245e-13
2.0000000199681045,1000000000.0,-12.63148,2.336253688199973e-13
2.0000000199681045,2000000019.9681082,-12.62802,2.3549408323657337e-13
2.0000000199681045,4999999950.07973,-12.62247,2.38522855552589e-13
2.0000000199681045,10000000000.0,-12.61741,2.413181570809769e-13
2.0000000199681045,20000000199.681084,-12.61144,2.446583260672278e-13
2.0000000199681045,49999999500.797295,-12.60184,2.5012666926746015e-13
2.0000000199681045,100000000000.0,-12.59302,2.5525837491287147e-13
2.0000000199681045,200000001996.81082,-12.58255,2.6148693828445684e-13
2.0000000199681045,499999995007.97296,-12.56536,2.7204453127188465e-13
2.0000000199681045,1000000000000.0,-12.54876,2.826441492704017e-13
2.0000000199681045,2000000019968.1084,-12.52801,2.96476312254469e-13
2.0000000199681045,4999999950079.7295,-12.49336,3.210997740764084e-13
2.0000000199681045,10000000000000.0,-12.46119,3.457880655050894e-13
2.0000000199681045,20000000199681.082,-12.42314,3.7745049564766153e-13
2.0000000199681045,49999999500797.3,-12.36493,4.315886350909042e-13
2.0000000199681045,100000000000000.0,-12.31616,4.828808693787341e-13
2.0000000199681045,200000001996810.84,-12.26002,5.495155671478538e-13
2.0000000199681045,499999995007973.0,-12.1648,6.84226672765952e-13
2.0000000199681045,1000000000000000.0,-12.07744,8.366811795480791e-13
2.0000000199681045,2000000019968108.2,-11.98856,1.0266915791859704e-12
2.9999913327161485,49999999.5007974,-12.77927,1.6623788314885143e-13
2.9999913327161485,100000000.0,-12.77833,1.6659808308132998e-13
2.9999913327161485,200000001.99681082,-12.77718,1.6703981487213474e-13
2.9999913327161485,499999995.00797296,-12.77525,1.677837898944145e-13
2.9999913327161485,1000000000.0,-12.77342,1.6849227724339745e-13
2.9999913327161485,2000000019.9681082,-12.77124,1.6934017334451856e-13
2.9999913327161485,4999999950.07973,-12.76774,1.707104078769048e-13
2.9999913327161485,10000000000.0,-12.76452,1.7198081393228785e-13
2.9999913327161485,20000000199.681084,-12.76072,1.734922182922751e-13
2.9999913327161485,49999999500.797295,-12.75458,1.759624499134437e-13
2.9999913327161485,100000000000.0,-12.74891,1.7827481728133932e-13
2.9999913327161485,200000001996.81082,-12.74217,1.8106312013744068e-13
2.9999913327161485,499999995007.97296,-12.73105,1.8575905797613898e-13
2.9999913327161485,1000000000000.0,-12.7203,1.9041449268403822e-13
2.9999913327161485,2000000019968.1084,-12.70693,1.9636767586281746e-13
2.9999913327161485,4999999950079.7295,-12.68464,2.067092922475763e-13
2.9999913327161485,10000000000000.0,-12.66383,2.1685527958512587e-13
2.9999913327161485,20000000199681.082,-12.63915,2.2953557234062197e-13
2.9999913327161485,49999999500797.3,-12.60155,2.502937470469229e-13
2.9999913327161485,100000000000000.0,-12.56965,2.693704798985049e-13
2.9999913327161485,200000001996810.84,-12.5319,2.9383261486728066e-13
2.9999913327161485,499999995007973.0,-12.46719,3.410436753837707e-13
2.9999913327161485,1000000000000000.0,-12.40942,3.8956506163096296e-13
2.9999913327161485,2000000019968108.2,-12.35277,4.4384363888161264e-13
4.999999950079738,49999999.5007974,-12.95818,1.1010828543015513e-13
4.999999950079738,100000000.0,-12.9577,1.1023004888112001e-13
4.999999950079738,200000001.99681082,-12.9571,1.1038244256712193e-13
4.999999950079738,499999995.00797296,-12.9561,1.1063690037685954e-13
4.999999950079738,1000000000.0,-12.95515,1.108791786003747e-13
4.999999950079738,2000000019.9681082,-12.954,1.1117317272815897e-13
4.999999950079738,4999999950.07973,-12.95215,1.1164775634899257e-13
4.999999950079738,10000000000.0,-12.95044,1.1208822710485918e-13
4.999999950079738,20000000199.681084,-12.94842,1.126107886529092e-13
4.999999950079738,49999999500.797295,-12.94513,1.1346711168489118e-13
4.999999950079738,100000000000.0,-12.94209,1.1426415176132335e-13
4.999999950079738,200000001996.81082,-12.93845,1.1522587108762003e-13
4.999999950079738,499999995007.97296,-12.93245,1.1682882262716488e-13
4.999999950079738,1000000000000.0,-12.92667,1.1839408351127034e-13
4.999999950079738,2000000019968.1084,-12.91951,1.2036216750588696e-13
4.999999950079738,4999999950079.7295,-12.90762,1.237029338871225e-13
4.999999950079738,10000000000000.0,-12.89646,1.2692290393765258e-13
4.999999950079738,20000000199681.082,-12.88321,1.3085490304432974e-13
4.999999950079738,49999999500797.3,-12.86296,1.3710080348564158e-13
4.999999950079738,100000000000000.0,-12.84539,1.4276113760100354e-13
4.999999950079738,200000001996810.84,-12.82405,1.4995121878436425e-13
4.999999950079738,499999995007973.0,-12.7876,1.6307973610235963e-13
4.999999950079738,1000000000000000.0,-12.75612,1.7533959536958352e-13
4.999999950079738,2000000019968108.2,-12.72579,1.8802257667900515e-13
7.000031591308969,49999999.5007974,-13.07985,8.320511017490936e-14
7.000031591308969,100000000.0,-13.07955,8.326260608491198e-14
7.000031591308969,200000001.99681082,-13.07919,8.333165362357502e-14
7.000031591308969,499999995.00797296,-13.07858,8.344878157820793e-14
7.000031591308969,1000000000.0,-13.07799,8.356222589232987e-14
7.000031591308969,2000000019.9681082,-13.07728,8.369894810736889e-14
7.000031591308969,4999999950.07973,-13.07614,8.391894202047194e-14
7.000031591308969,10000000000.0,-13.07508,8.412401652066536e-14
