subset,n,within10,within20,mean_abs_err,median_abs_err,max_abs_err,verdict
ALL matched transitions,340,22.058823529411764,40.588235294117645,29.39043512251396,25.438497468037696,193.61635889137645,FAIL
n_upper <= 4  (CR-relevant core),140,46.42857142857143,79.28571428571428,13.331552291845732,10.554256540849321,65.74993651345275,PARTIAL
"n_upper <= 4, excited-state only",104,58.65384615384615,85.57692307692307,11.12147890531553,6.866507417422957,65.74993651345275,PASS
n_upper == 5  (diffuse-orbital set),200,5.0,13.5,40.63165310398172,36.40571377949429,193.61635889137645,FAIL
