i,j,Te,ups_2000,ups_2002,pct
15,1,10.0,0.00188,0.00176,-6.382978723404253
15,1,15.0,0.00165,0.00147,-10.909090909090914
15,1,20.0,0.00151,0.00129,-14.569536423841068
15,1,25.0,0.00142,0.00115,-19.014084507042263
4,2,0.5,1.39,1.38,-0.7194244604316502
4,2,1.0,1.47,1.45,-1.3605442176870763
4,2,3.0,2.29,2.28,-0.4366812227074357
4,2,5.0,3.06,3.09,0.9803921568627416
4,2,10.0,4.26,4.5,5.633802816901423
4,2,15.0,4.89,5.4,10.429447852760742
4,2,20.0,5.28,6.03,14.204545454545459
4,2,25.0,5.54,6.5,17.32851985559567
5,2,0.5,2.42,2.46,1.6528925619834656
5,2,1.0,3.07,3.05,-0.6514657980456029
5,2,3.0,5.31,5.28,-0.5649717514124131
5,2,5.0,7.79,7.74,-0.6418485237483895
5,2,10.0,13.8,13.5,-2.1739130434782705
5,2,15.0,19.1,18.4,-3.664921465968596
5,2,20.0,23.6,22.4,-5.084745762711873
5,2,25.0,27.6,25.8,-6.521739130434789
6,2,0.5,2.05,2.09,1.9512195121951237
6,2,1.0,3.1,3.08,-0.6451612903225823
6,2,3.0,6.59,6.56,-0.4552352048558417
6,2,5.0,9.3,9.38,0.8602150537634357
6,2,10.0,13.5,14.2,5.185185185185182
6,2,15.0,15.7,17.2,9.554140127388532
6,2,20.0,17.1,19.3,12.86549707602338
6,2,25.0,18.0,20.8,15.555555555555568
7,2,0.5,0.375,0.392,4.533333333333345
7,2,1.0,0.38,0.388,2.1052631578947434
7,2,3.0,0.505,0.508,0.5940594059405946
7,2,5.0,0.629,0.638,1.4308426073131875
7,2,10.0,0.823,0.88,6.925880923450789
7,2,15.0,0.927,1.04,12.189859762675304
7,2,20.0,0.991,1.16,17.053481331987875
7,2,25.0,1.03,1.25,21.359223300970864
8,2,0.5,0.728,0.77,5.769230769230771
8,2,1.0,0.889,0.903,1.5748031496062964
8,2,3.0,1.45,1.45,0.0
8,2,5.0,1.95,1.95,0.0
8,2,10.0,3.06,3.01,-1.6339869281045805
8,2,15.0,3.98,3.85,-3.2663316582914548
8,2,20.0,4.76,4.54,-4.621848739495793
8,2,25.0,5.43,5.13,-5.524861878453036
9,2,0.5,0.63,0.654,3.809523809523818
9,2,1.0,0.745,0.754,1.2080536912751683
9,2,3.0,1.12,1.12,0.0
9,2,5.0,1.4,1.41,0.7142857142857117
9,2,10.0,1.83,1.93,5.464480874316924
9,2,15.0,2.05,2.25,9.756097560975618
9,2,20.0,2.19,2.48,13.242009132420085
9,2,25.0,2.28,2.65,16.228070175438614
10,2,0.5,0.543,0.565,4.051565377532218
10,2,1.0,0.733,0.738,0.6821282401091366
10,2,3.0,1.29,1.29,0.0
10,2,5.0,1.63,1.62,-0.6134969325153228
10,2,10.0,2.09,2.04,-2.392344497607646
10,2,15.0,2.31,2.21,-4.329004329004338
10,2,20.0,2.44,2.3,-5.737704918032794
10,2,25.0,2.52,2.34,-7.142857142857151
11,2,0.5,0.19,0.201,5.789473684210522
11,2,1.0,0.207,0.213,2.898550724637694
11,2,3.0,0.231,0.233,0.8658008658008587
11,2,5.0,0.259,0.264,1.9305019305019266
11,2,10.0,0.313,0.337,7.667731629392982
11,2,15.0,0.345,0.392,13.623188405797105
11,2,20.0,0.365,0.434,18.904109589041095
11,2,25.0,0.378,0.466,23.28042328042328
12,2,0.5,0.401,0.42,4.738154613466317
12,2,1.0,0.51,0.518,1.5686274509803866
12,2,3.0,0.713,0.714,0.14025245441795509
12,2,5.0,0.875,0.868,-0.8000000000000007
12,2,10.0,1.28,1.21,-5.46875
12,2,15.0,1.64,1.49,-9.14634146341463
12,2,20.0,1.97,1.73,-12.182741116751272
12,2,25.0,2.25,1.93,-14.222222222222225
13,2,0.5,0.416,0.435,4.567307692307687
13,2,1.0,0.476,0.487,2.310924369747891
13,2,3.0,0.552,0.556,0.7246376811594235
13,2,5.0,0.602,0.609,1.1627906976744207
13,2,10.0,0.681,0.718,5.433186490455211
13,2,15.0,0.723,0.796,10.096818810511765
13,2,20.0,0.75,0.855,13.99999999999999
13,2,25.0,0.767,0.901,17.470664928292056
14,2,0.5,0.375,0.391,4.266666666666663
14,2,1.0,0.455,0.461,1.318681318681314
14,2,3.0,0.675,0.676,0.1481481481481417
14,2,5.0,0.816,0.814,-0.2450980392156854
14,2,10.0,0.992,0.977,-1.5120967741935498
14,2,15.0,1.07,1.04,-2.8037383177570097
14,2,20.0,1.12,1.07,-4.464285714285721
14,2,25.0,1.15,1.09,-5.217391304347807
15,2,0.5,0.228,0.235,3.0701754385964897
15,2,1.0,0.249,0.254,2.008032128514059
15,2,3.0,0.25,0.252,0.8000000000000007
15,2,5.0,0.247,0.247,0.0
15,2,10.0,0.246,0.236,-4.0650406504065035
15,2,15.0,0.245,0.224,-8.571428571428562
15,2,20.0,0.245,0.214,-12.653061224489793
15,2,25.0,0.245,0.205,-16.326530612244905
4,3,0.5,2.0,2.04,2.0000000000000018
4,3,1.0,2.18,2.22,1.8348623853211121
4,3,3.0,2.26,2.28,0.8849557522123908
4,3,5.0,2.33,2.35,0.8583690987124415
4,3,10.0,2.64,2.68,1.5151515151515138
4,3,15.0,2.96,3.02,2.0270270270270396
4,3,20.0,3.26,3.34,2.4539877300613577
4,3,25.0,3.54,3.62,2.259887005649719
5,3,0.5,7.18,7.26,1.1142061281337101
5,3,1.0,7.9,7.92,0.25316455696202667
5,3,3.0,10.7,10.7,0.0
5,3,5.0,13.2,13.3,0.7575757575757791
5,3,10.0,17.1,17.7,3.50877192982455
5,3,15.0,19.2,20.4,6.25
5,3,20.0,20.5,22.3,8.780487804878057
5,3,25.0,21.3,23.7,11.267605633802802
6,3,0.5,13.1,13.2,0.7633587786259444
6,3,1.0,18.1,17.8,-1.6574585635359185
6,3,3.0,37.3,36.9,-1.072386058981234
6,3,5.0,56.4,55.8,-1.0638297872340496
6,3,10.0,98.1,94.4,-3.771661569826701
6,3,15.0,132.0,123.0,-6.818181818181824
6,3,20.0,159.0,146.0,-8.176100628930815
6,3,25.0,183.0,165.0,-9.836065573770492
7,3,0.5,0.692,0.736,6.358381502890187
7,3,1.0,0.743,0.771,3.7685060565275874
7,3,3.0,0.747,0.758,1.4725568942436373
7,3,5.0,0.733,0.742,1.2278308321964637
7,3,10.0,0.735,0.751,2.176870748299331
7,3,15.0,0.761,0.784,3.0223390275952777
7,3,20.0,0.793,0.821,3.5308953341740112
7,3,25.0,0.826,0.857,3.7530266343825724
8,3,0.5,2.06,2.16,4.854368932038833
8,3,1.0,2.2,2.26,2.7272727272727115
8,3,3.0,2.67,2.69,0.7490636704119868
8,3,5.0,3.05,3.08,0.9836065573770592
8,3,10.0,3.63,3.77,3.8567493112947604
