i,j,Te,ups_2000,ups_2002,pct
15,7,25.0,61.0,58.3,-4.426229508196721
11,8,0.5,10.7,11.0,2.8037383177570208
11,8,1.0,18.0,18.1,0.5555555555555536
11,8,3.0,29.5,29.5,0.0
11,8,5.0,34.0,34.5,1.4705882352941124
11,8,10.0,41.0,44.6,8.780487804878057
11,8,15.0,46.5,53.7,15.48387096774193
11,8,20.0,51.3,61.9,20.662768031189096
11,8,25.0,55.6,69.3,24.640287769784173
12,8,0.5,38.3,39.2,2.349869451697151
12,8,1.0,76.0,75.4,-0.7894736842105177
12,8,3.0,176.0,175.0,-0.5681818181818232
12,8,5.0,225.0,227.0,0.8888888888888946
12,8,10.0,279.0,289.0,3.584229390680993
12,8,15.0,302.0,321.0,6.29139072847682
12,8,20.0,315.0,342.0,8.571428571428562
12,8,25.0,323.0,357.0,10.526315789473696
13,8,0.5,40.0,41.2,3.0000000000000027
13,8,1.0,71.7,70.5,-1.673640167364021
13,8,3.0,188.0,186.0,-1.0638297872340385
13,8,5.0,280.0,279.0,-0.3571428571428559
13,8,10.0,448.0,455.0,1.5625
13,8,15.0,571.0,592.0,3.677758318739044
13,8,20.0,670.0,705.0,5.223880597014929
13,8,25.0,753.0,801.0,6.374501992031867
14,8,0.5,67.4,69.1,2.52225519287832
14,8,1.0,115.0,115.0,0.0
14,8,3.0,242.0,241.0,-0.4132231404958664
14,8,5.0,314.0,315.0,0.31847133757962887
14,8,10.0,402.0,414.0,2.9850746268656803
14,8,15.0,442.0,465.0,5.203619909502266
14,8,20.0,465.0,498.0,7.096774193548394
14,8,25.0,480.0,521.0,8.54166666666667
15,8,0.5,67.1,69.6,3.7257824143070106
15,8,1.0,98.6,99.4,0.8113590263691739
15,8,3.0,163.0,163.0,0.0
15,8,5.0,195.0,195.0,0.0
15,8,10.0,233.0,232.0,-0.42918454935622075
15,8,15.0,250.0,247.0,-1.200000000000001
15,8,20.0,259.0,255.0,-1.5444015444015413
15,8,25.0,266.0,260.0,-2.2556390977443663
11,9,0.5,12.1,12.7,4.958677685950419
11,9,1.0,15.7,16.0,1.9108280254777066
11,9,3.0,18.9,19.0,0.5291005291005346
11,9,5.0,20.1,20.2,0.4975124378109319
11,9,10.0,21.7,21.8,0.4608294930875667
11,9,15.0,22.4,22.6,0.8928571428571619
11,9,20.0,22.9,23.1,0.8733624454148492
11,9,25.0,23.2,23.4,0.8620689655172376
12,9,0.5,40.4,41.9,3.712871287128716
12,9,1.0,59.8,60.5,1.17056856187292
12,9,3.0,83.9,84.1,0.23837902264598476
12,9,5.0,89.0,90.0,1.1235955056179803
12,9,10.0,92.1,97.7,6.080347448425627
12,9,15.0,93.5,105.0,12.299465240641716
12,9,20.0,94.8,111.0,17.08860759493671
12,9,25.0,96.3,117.0,21.495327102803753
13,9,0.5,87.5,89.7,2.5142857142857133
13,9,1.0,160.0,159.0,-0.6249999999999978
13,9,3.0,336.0,335.0,-0.29761904761904656
13,9,5.0,417.0,418.0,0.23980815347721673
13,9,10.0,502.0,510.0,1.5936254980079667
13,9,15.0,536.0,553.0,3.171641791044766
13,9,20.0,554.0,578.0,4.332129963898912
13,9,25.0,565.0,596.0,5.486725663716818
14,9,0.5,105.0,107.0,1.904761904761898
14,9,1.0,200.0,195.0,-2.500000000000002
14,9,3.0,543.0,537.0,-1.104972375690605
14,9,5.0,815.0,810.0,-0.6134969325153339
14,9,10.0,1300.0,1300.0,0.0
14,9,15.0,1650.0,1670.0,1.21212121212122
14,9,20.0,1920.0,1960.0,2.083333333333326
14,9,25.0,2150.0,2210.0,2.7906976744185963
15,9,0.5,165.0,170.0,3.0303030303030276
15,9,1.0,261.0,261.0,0.0
15,9,3.0,481.0,479.0,-0.4158004158004158
15,9,5.0,609.0,611.0,0.3284072249589487
15,9,10.0,773.0,792.0,2.4579560155239433
15,9,15.0,850.0,888.0,4.470588235294115
15,9,20.0,895.0,950.0,6.145251396648055
15,9,25.0,924.0,993.0,7.467532467532467
11,10,0.5,9.63,10.1,4.880581516095517
11,10,1.0,10.5,10.8,2.857142857142869
11,10,3.0,9.45,9.56,1.1640211640211673
11,10,5.0,8.68,8.72,0.4608294930875667
11,10,10.0,7.81,7.69,-1.5364916773367376
11,10,15.0,7.43,7.15,-3.7685060565275874
11,10,20.0,7.22,6.8,-5.8171745152354575
11,10,25.0,7.09,6.54,-7.7574047954866
12,10,0.5,33.3,34.8,4.504504504504503
12,10,1.0,39.6,40.5,2.2727272727272707
12,10,3.0,39.4,39.7,0.7614213197969733
12,10,5.0,36.9,37.0,0.27100271002711285
12,10,10.0,33.5,33.2,-0.8955223880596885
12,10,15.0,31.9,31.1,-2.507836990595602
12,10,20.0,31.0,29.8,-3.8709677419354827
12,10,25.0,30.4,28.9,-4.934210526315786
13,10,0.5,72.4,75.1,3.7292817679557944
13,10,1.0,102.0,103.0,0.9803921568627416
13,10,3.0,131.0,132.0,0.7633587786259444
13,10,5.0,130.0,132.0,1.538461538461533
13,10,10.0,116.0,126.0,8.62068965517242
13,10,15.0,104.0,122.0,17.307692307692314
13,10,20.0,94.6,122.0,28.964059196617352
13,10,25.0,87.6,122.0,39.26940639269407
14,10,0.5,162.0,167.0,3.0864197530864113
14,10,1.0,270.0,271.0,0.37037037037037646
14,10,3.0,529.0,528.0,-0.1890359168241984
14,10,5.0,652.0,650.0,-0.30674846625766694
14,10,10.0,776.0,764.0,-1.546391752577314
14,10,15.0,824.0,801.0,-2.7912621359223344
14,10,20.0,850.0,815.0,-4.117647058823525
14,10,25.0,865.0,821.0,-5.086705202312136
15,10,0.5,381.0,387.0,1.5748031496062964
15,10,1.0,745.0,733.0,-1.6107382550335614
15,10,3.0,1770.0,1760.0,-0.5649717514124242
15,10,5.0,2470.0,2460.0,-0.4048582995951455
15,10,10.0,3620.0,3640.0,0.5524861878453136
15,10,15.0,4420.0,4480.0,1.3574660633484115
15,10,20.0,5030.0,5140.0,2.1868787276341894
15,10,25.0,5530.0,5690.0,2.893309222423146
