label,Te_eV,Te_match,n_lower,n_upper,K_stored,K_Anderson2002,pct_err
2P->3P,10.0,exact,2,3,5.720095229709376e-08,6.18596898492798e-08,-7.531136291722429
2P->3D,1.0,exact,2,3,3.406689184869521e-08,3.591195030600194e-08,-5.137728365029426
2P->3D,3.0,interp,2,3,1.4641203540568095e-07,1.5149814238937335e-07,-3.357207490122438
2P->3D,5.0,interp,2,3,2.228193563702334e-07,2.2830492576245078e-07,-2.402738081054401
2P->3D,10.0,exact,2,3,3.4054160151475107e-07,3.299183458628257e-07,3.2199651171694432
2P->4S,1.0,exact,2,4,7.776003906763391e-10,8.028492625194513e-10,-3.1449081442608273
2P->4S,3.0,interp,2,4,2.3461254876244978e-09,2.496339770338714e-09,-6.017381307586767
2P->4S,5.0,interp,2,4,2.504050108283559e-09,2.6597273374507704e-09,-5.853127385471812
2P->4S,10.0,exact,2,4,2.36074004609874e-09,2.4566906527080155e-09,-3.905685337448128
2P->4P,1.0,exact,2,4,2.2863376568565943e-09,2.353358408941582e-09,-2.8478769672457216
2P->4P,3.0,interp,2,4,7.969250456840668e-09,8.859042192890686e-09,-10.043881908182684
2P->4P,5.0,interp,2,4,9.7127321792681e-09,1.104037762715414e-08,-12.025362652638405
2P->4P,10.0,exact,2,4,1.0975896646578651e-08,1.233252165207619e-08,-11.000386164083075
2P->4D,1.0,exact,2,4,4.256112382889987e-09,4.488041921477088e-09,-5.167722197005887
2P->4D,3.0,interp,2,4,2.1803911748228102e-08,2.5095130672798153e-08,-13.114970260495863
2P->4D,5.0,interp,2,4,3.2447268133934086e-08,3.799610482072529e-08,-14.60369875536437
2P->4D,10.0,exact,2,4,4.758956419533183e-08,5.3320982209241886e-08,-10.748898044336197
2P->4F,1.0,exact,2,4,3.018673200160249e-09,3.342601987921451e-09,-9.690917103852758
2P->4F,3.0,interp,2,4,1.413016060314766e-08,1.6236088479907466e-08,-12.970660263190481
2P->4F,5.0,interp,2,4,1.8653144305628563e-08,2.182983758096387e-08,-14.552070135901774
2P->4F,10.0,exact,2,4,2.1233575702373703e-08,2.4926741376344976e-08,-14.816078917864573
2P->5S,1.0,exact,2,5,2.385979111118988e-10,3.910200473133129e-10,-38.980644918004096
