Te_eV,ne_cm3,tau_QSS_s,tau_QSS_And_s,tau_relax_s,tau_relax_And_s,pct_d_tau_QSS,pct_d_tau_relax,pct_d_M
1.0,1000000000000.0,67.2333413814378,58.91752362745895,3.887944677886894e-08,3.8633654551395694e-08,-12.368592104920628,-0.6321906504257013,-11.811069934335027
1.0,2682695795279.7275,20.260810266635623,17.057817448230857,2.4025037487764383e-08,2.3704290985118384e-08,-15.80880910611594,-1.3350509975659786,-14.669604813957694
1.0,7196856730011.528,5.858405973632576,4.819644370744434,1.4896918217645261e-08,1.4234630307498633e-08,-17.731130405837092,-4.445804833392685,-13.903445630283684
1.0,19306977288832.457,1.617193243881897,1.3156197582256377,8.884213833432743e-09,8.55105557558333e-09,-18.647956068154524,-3.750002691241905,-15.478393551660918
1.0,51794746792312.02,0.42101160910722096,0.34208795033813727,6.351380572571755e-09,6.0198904886738395e-09,-18.746195368922436,-5.219181563917708,-14.27188963780367
1.0,138949549437313.6,0.10467287786454833,0.08569420886547495,3.818484551875418e-09,3.514886481874585e-09,-18.13141033882023,-7.950747629755983,-11.060016726822708
1.0,372759372031493.8,0.024515453653572186,0.02020757713341701,2.1158322025993146e-09,2.063900856196646e-09,-17.57208567718047,-2.4544170534350873,-15.498055541917033
1.0,1000000000000000.0,0.005208701317833784,0.004313612760302293,1.865317132401266e-09,1.8401301271896298e-09,-17.18448616868944,-1.3502800555534766,-16.05093873763941
1.0481131341546857,1000000000000.0,36.01731706680782,31.666418331215638,3.8345445863554493e-08,3.81351685531126e-08,-12.080018973989048,-0.5483762301007777,-11.595228219268671
1.0481131341546857,2682695795279.7275,10.92559284897024,9.235881771365463,2.3716051967819824e-08,2.3397357258480633e-08,-15.465623705390374,-1.3437932661457541,-14.314183472856612
1.0481131341546857,7196856730011.528,3.184169476957368,2.6288247854227023,1.461423489914007e-08,1.399772080921423e-08,-17.440801928210337,-4.218586153710424,-13.804573605187109
1.0481131341546857,19306977288832.457,0.8867631682691633,0.7231278036623185,8.762716632813381e-09,8.449832022513362e-09,-18.453107939320258,-3.5706348089400985,-15.43354879594283
1.0481131341546857,51794746792312.02,0.23323895648932313,0.18973948809792524,6.238551633357044e-09,5.910287557370929e-09,-18.65017278680423,-5.2618635747264335,-14.131911094364902
1.0481131341546857,138949549437313.6,0.05865308810640872,0.048011553989129194,3.7143187772280867e-09,3.4182510867779855e-09,-18.14317789708464,-7.970982250237824,-11.053248090190671
1.0481131341546857,372759372031493.8,0.013884625280933118,0.011429676646228352,2.092215703554735e-09,2.047515323638802e-09,-17.681057897010678,-2.1365091486497123,-15.883909937335417
1.0481131341546857,1000000000000000.0,0.002983763948088074,0.002466522674138199,1.8415397265884068e-09,1.8146268828769213e-09,-17.335194169140333,-1.4614316119774151,-16.109187312987572
1.0985411419875581,1000000000000.0,19.833531623886703,17.49702445528378,3.783995076917883e-08,3.766030314776324e-08,-11.780590632628074,-0.474756488219108,-11.359765367537822
1.0985411419875581,2682695795279.7275,6.055832525297209,5.139807510928866,2.34159322255692e-08,2.310375308005661e-08,-15.126326736114393,-1.3331911901064641,-13.979509130151246
1.0985411419875581,7196856730011.528,1.7785025746117447,1.4736303402602944,1.4340630513508953e-08,1.3771965738129641e-08,-17.142074389068863,-3.965409853099744,-13.72074844679746
1.0985411419875581,19306977288832.457,0.49956313034828814,0.40837785654979125,8.647281765150193e-09,8.352511937654231e-09,-18.25300312593603,-3.4088148796530104,-15.368056855072243
1.0985411419875581,51794746792312.02,0.13271285633171578,0.10810407425643263,6.127947318279636e-09,5.803884018070126e-09,-18.542877273150914,-5.288284695967138,-13.994670600817837
1.0985411419875581,138949549437313.6,0.033744003856811845,0.027624524550098187,3.614127701058985e-09,3.32639006296325e-09,-18.135012468232425,-7.961468489655865,-11.053570511860212
1.0985411419875581,372759372031493.8,0.008071258268227494,0.006637408442021591,2.0711974205691136e-09,2.0316139276734525e-09,-17.764885951552955,-1.9111405075419863,-16.162636130181486
1.0985411419875581,1000000000000000.0,0.0017542895877529793,0.001448043056037357,1.8169796588333573e-09,1.7883096840341708e-09,-17.457011308371552,-1.5778918965771327,-16.133691624557045
1.1513953993264474,1000000000000.0,11.2161291206936,9.92799810187691,3.736212236431731e-08,3.720862803873628e-08,-11.484630793346584,-0.41082871065061255,-11.119484115920407
1.1513953993264474,2682695795279.7275,3.4456407738377717,2.9363705408415135,2.312433331592829e-08,2.2822928546839887e-08,-14.78013137245966,-1.303409551188195,-13.654698465253523
1.1513953993264474,7196856730011.528,1.019624874699252,0.8478490041924617,1.407609005111159e-08,1.355686979417966e-08,-16.846967425883687,-3.688668195831324,-13.662254465349232
1.1513953993264474,19306977288832.457,0.28877781893856047,0.23668795306823032,8.537221180879834e-09,8.258765849775058e-09,-18.03804255527418,-3.261662374736307,-15.274585591678546
1.1513953993264474,51794746792312.02,0.07745765297672473,0.06319463930740267,6.019619983336522e-09,5.700702121224878e-09,-18.413950231112675,-5.29797334374047,-13.849731996738923
1.1513953993264474,138949549437313.6,0.019906334417336673,0.016302543835891418,3.517833681370179e-09,3.2391329247974444e-09,-18.103737764531225,-7.922510892106249,-11.057237736462277
1.1513953993264474,372759372031493.8,0.004809731575927734,0.00395230590915993,2.0519020448766862e-09,2.0159326120168743e-09,-17.82689227521844,-1.752980019178918,-16.360712273183786
1.1513953993264474,1000000000000000.0,0.0010572854184701282,0.0008717433834007958,1.7917289836960589e-09,1.761301208137504e-09,-17.54890702434997,-1.6982353824397722,-16.12450366845063
1.2067926406393286,1000000000000.0,6.504077137237345,5.776363688282865,3.691107923290986e-08,3.677968353432173e-08,-11.188573468604046,-0.3559790212554481,-10.871293973232332
1.2067926406393286,2682695795279.7275,2.0101873295837698,1.7199783143863967,2.2840982766954555e-08,2.2554346517957202e-08,-14.43691395952953,-1.2549208233371134,-13.349519030319257
1.2067926406393286,7196856730011.528,0.5991519679719113,0.5000684541402854,1.3820593281157401e-08,1.335195097341316e-08,-16.537292561521046,-3.390898626495109,-13.607821362709982
1.2067926406393286,19306977288832.457,0.17106589570779943,0.14059759320040044,8.431936502559866e-09,8.168323889356038e-09,-17.81085726136927,-3.1263590887312454,-15.158404323925701
1.2067926406393286,51794746792312.02,0.04631752238566545,0.03785482534767957,5.913611707333332e-09,5.600746099620366e-09,-18.271048627171293,-5.2906011283254895,-13.705553676286685
1.2067926406393286,138949549437313.6,0.012027169130983735,0.00985560607281692,3.4253508996796803e-09,3.1563056484537584e-09,-18.055479510740003,-7.854531086175188,-11.0704829491994
1.2067926406393286,372759372031493.8,0.0029345952124439473,0.0024103958473572678,2.033735754647254e-09,2.000309238190194e-09,-17.8627485952355,-1.64360175016236,-16.490179727682253
1.2067926406393286,1000000000000000.0,0.0006523967405841926,0.0005375079363877567,1.7658826262416321e-09,1.733727270049023e-09,-17.610266429835008,-1.820922620494092,-16.082188008661014
