label,Te_eV,n_lower,n_upper,l_upper,dn,dipole,K_CCC,K_And2002,pct_err
1S->3S,10.0,1,3,0,2,False,2.542753455572686e-10,3.2878022592242275e-10,-22.660997983112875
1S->3S,15.0,1,3,0,2,False,3.2891296746011215e-10,4.2528460626556214e-10,-22.660504844436403
1S->3S,20.0,1,3,0,2,False,3.6999573592084355e-10,4.725713665004925e-10,-21.70584970884859
1S->3S,25.0,1,3,0,2,False,3.9449990725412887e-10,4.987471331668601e-10,-20.9018195755432
1S->3P,0.5,1,3,1,2,True,1.7601692552191416e-19,1.9842829550497697e-19,-11.294442622725997
1S->3P,1.0,1,3,1,2,True,2.4507666314106157e-14,2.8223956399220024e-14,-13.167147909910204
1S->3P,3.0,1,3,1,2,True,6.26148798261307e-11,7.634562855992962e-11,-17.98498354495908
1S->3P,5.0,1,3,1,2,True,3.119147491501247e-10,3.8749850540104814e-10,-19.50556071763342
1S->3P,10.0,1,3,1,2,True,1.1242837336605247e-09,1.3377954020291684e-09,-15.959964284881611
1S->3P,15.0,1,3,1,2,True,1.8067107048228814e-09,2.0225261405463216e-09,-10.67058820140364
1S->3P,20.0,1,3,1,2,True,2.33817529039347e-09,2.4802658676578643e-09,-5.728844601589889
1S->3P,25.0,1,3,1,2,True,2.757648976183258e-09,2.7949591819053742e-09,-1.334910576285464
