n,l,l_char,type,E_eV,sigma_a0sq,filename
5,3,F,resolved,59.544,104.9,TICS.5F
5,3,F,resolved,67.544,93.29,TICS.5F
5,3,F,resolved,75.544,84.02,TICS.5F
5,3,F,resolved,91.544,70.21,TICS.5F
5,3,F,resolved,107.54,60.27,TICS.5F
5,3,F,resolved,123.54,52.84,TICS.5F
5,3,F,resolved,139.54,47.06,TICS.5F
5,3,F,resolved,155.54,42.44,TICS.5F
5,3,F,resolved,187.54,35.49,TICS.5F
5,3,F,resolved,219.54,30.54,TICS.5F
5,3,F,resolved,251.54,26.82,TICS.5F
5,3,F,resolved,283.54,23.92,TICS.5F
5,3,F,resolved,315.54,21.59,TICS.5F
5,3,F,resolved,379.54,18.1,TICS.5F
5,3,F,resolved,443.54,15.59,TICS.5F
5,3,F,resolved,507.54,13.7,TICS.5F
5,3,F,resolved,571.54,12.23,TICS.5F
5,3,F,resolved,635.54,11.05,TICS.5F
5,3,F,resolved,699.54,10.08,TICS.5F
5,3,F,resolved,763.54,9.265,TICS.5F
5,3,F,resolved,827.54,8.577,TICS.5F
5,3,F,resolved,891.54,7.986,TICS.5F
5,3,F,resolved,955.54,7.473,TICS.5F
5,4,G,resolved,0.544232,0.0,TICS.5G
5,4,G,resolved,0.63843,394.8,TICS.5G
5,4,G,resolved,0.74423,795.5,TICS.5G
5,4,G,resolved,0.94423,1476.0,TICS.5G
5,4,G,resolved,1.1442,1746.0,TICS.5G
5,4,G,resolved,1.3442,1828.0,TICS.5G
5,4,G,resolved,1.5442,1804.0,TICS.5G
5,4,G,resolved,2.5442,1515.0,TICS.5G
5,4,G,resolved,3.5442,1214.0,TICS.5G
5,4,G,resolved,4.5442,1005.0,TICS.5G
5,4,G,resolved,5.5442,864.5,TICS.5G
5,4,G,resolved,7.5442,676.5,TICS.5G
5,4,G,resolved,9.5442,557.4,TICS.5G
5,4,G,resolved,11.544,474.5,TICS.5G
5,4,G,resolved,13.544,412.6,TICS.5G
5,4,G,resolved,15.544,364.7,TICS.5G
5,4,G,resolved,19.544,294.9,TICS.5G
5,4,G,resolved,23.544,246.5,TICS.5G
5,4,G,resolved,27.544,211.2,TICS.5G
5,4,G,resolved,31.544,184.9,TICS.5G
5,4,G,resolved,35.544,164.3,TICS.5G
5,4,G,resolved,43.544,134.3,TICS.5G
5,4,G,resolved,51.544,113.5,TICS.5G
5,4,G,resolved,59.544,98.23,TICS.5G
5,4,G,resolved,67.544,86.65,TICS.5G
5,4,G,resolved,75.544,77.52,TICS.5G
5,4,G,resolved,91.544,63.84,TICS.5G
5,4,G,resolved,107.54,54.43,TICS.5G
5,4,G,resolved,123.54,47.46,TICS.5G
5,4,G,resolved,139.54,42.07,TICS.5G
5,4,G,resolved,155.54,37.79,TICS.5G
5,4,G,resolved,187.54,31.36,TICS.5G
5,4,G,resolved,219.54,26.85,TICS.5G
5,4,G,resolved,251.54,23.47,TICS.5G
5,4,G,resolved,283.54,20.85,TICS.5G
5,4,G,resolved,315.54,18.76,TICS.5G
5,4,G,resolved,379.54,15.63,TICS.5G
5,4,G,resolved,443.54,13.4,TICS.5G
5,4,G,resolved,507.54,11.73,TICS.5G
5,4,G,resolved,571.54,10.43,TICS.5G
5,4,G,resolved,635.54,9.393,TICS.5G
5,4,G,resolved,699.54,8.543,TICS.5G
5,4,G,resolved,763.54,7.835,TICS.5G
5,4,G,resolved,827.54,7.236,TICS.5G
5,4,G,resolved,891.54,6.722,TICS.5G
5,4,G,resolved,955.54,6.277,TICS.5G
5,1,P,resolved,0.544232,0.0,TICS.5P
5,1,P,resolved,0.63843,344.6,TICS.5P
5,1,P,resolved,0.74423,686.8,TICS.5P
5,1,P,resolved,0.94423,1158.0,TICS.5P
5,1,P,resolved,1.1442,1326.0,TICS.5P
5,1,P,resolved,1.3442,1345.0,TICS.5P
5,1,P,resolved,1.5442,1287.0,TICS.5P
5,1,P,resolved,2.5442,985.4,TICS.5P
5,1,P,resolved,3.5442,798.3,TICS.5P
5,1,P,resolved,4.5442,701.6,TICS.5P
5,1,P,resolved,5.5442,633.0,TICS.5P
5,1,P,resolved,7.5442,527.8,TICS.5P
5,1,P,resolved,9.5442,449.4,TICS.5P
5,1,P,resolved,11.544,391.2,TICS.5P
5,1,P,resolved,13.544,346.5,TICS.5P
5,1,P,resolved,15.544,310.6,TICS.5P
5,1,P,resolved,19.544,259.1,TICS.5P
5,1,P,resolved,23.544,221.8,TICS.5P
5,1,P,resolved,27.544,194.3,TICS.5P
5,1,P,resolved,31.544,172.9,TICS.5P
5,1,P,resolved,35.544,156.0,TICS.5P
5,1,P,resolved,43.544,130.6,TICS.5P
5,1,P,resolved,51.544,112.5,TICS.5P
5,1,P,resolved,59.544,98.95,TICS.5P
5,1,P,resolved,67.544,88.42,TICS.5P
5,1,P,resolved,75.544,79.99,TICS.5P
5,1,P,resolved,91.544,67.32,TICS.5P
5,1,P,resolved,107.54,58.16,TICS.5P
5,1,P,resolved,123.54,51.27,TICS.5P
5,1,P,resolved,139.54,45.87,TICS.5P
5,1,P,resolved,155.54,41.54,TICS.5P
5,1,P,resolved,187.54,35.01,TICS.5P
5,1,P,resolved,219.54,30.29,TICS.5P
5,1,P,resolved,251.54,26.72,TICS.5P
5,1,P,resolved,283.54,23.93,TICS.5P
5,1,P,resolved,315.54,21.68,TICS.5P
5,1,P,resolved,379.54,18.28,TICS.5P
5,1,P,resolved,443.54,15.83,TICS.5P
5,1,P,resolved,507.54,13.97,TICS.5P
5,1,P,resolved,571.54,12.52,TICS.5P
5,1,P,resolved,635.54,11.34,TICS.5P
5,1,P,resolved,699.54,10.38,TICS.5P
5,1,P,resolved,763.54,9.567,TICS.5P
5,1,P,resolved,827.54,8.879,TICS.5P
5,1,P,resolved,891.54,8.285,TICS.5P
5,1,P,resolved,955.54,7.768,TICS.5P
5,0,S,resolved,0.544232,0.0,TICS.5S
5,0,S,resolved,0.63843,329.3,TICS.5S
5,0,S,resolved,0.74423,653.2,TICS.5S
5,0,S,resolved,0.94423,1111.0,TICS.5S
5,0,S,resolved,1.1442,1273.0,TICS.5S
5,0,S,resolved,1.3442,1292.0,TICS.5S
5,0,S,resolved,1.5442,1241.0,TICS.5S
5,0,S,resolved,2.5442,931.5,TICS.5S
5,0,S,resolved,3.5442,759.9,TICS.5S
5,0,S,resolved,4.5442,673.2,TICS.5S
5,0,S,resolved,5.5442,613.4,TICS.5S
5,0,S,resolved,7.5442,511.1,TICS.5S
5,0,S,resolved,9.5442,434.0,TICS.5S
5,0,S,resolved,11.544,377.4,TICS.5S
5,0,S,resolved,13.544,334.0,TICS.5S
5,0,S,resolved,15.544,299.4,TICS.5S
5,0,S,resolved,19.544,249.3,TICS.5S
5,0,S,resolved,23.544,213.0,TICS.5S
5,0,S,resolved,27.544,186.3,TICS.5S
5,0,S,resolved,31.544,165.7,TICS.5S
5,0,S,resolved,35.544,149.3,TICS.5S
5,0,S,resolved,43.544,125.1,TICS.5S
5,0,S,resolved,51.544,107.8,TICS.5S
5,0,S,resolved,59.544,94.82,TICS.5S
5,0,S,resolved,67.544,84.77,TICS.5S
5,0,S,resolved,75.544,76.71,TICS.5S
5,0,S,resolved,91.544,64.58,TICS.5S
5,0,S,resolved,107.54,55.84,TICS.5S
5,0,S,resolved,123.54,49.25,TICS.5S
5,0,S,resolved,139.54,44.1,TICS.5S
5,0,S,resolved,155.54,39.95,TICS.5S
5,0,S,resolved,187.54,33.71,TICS.5S
5,0,S,resolved,219.54,29.19,TICS.5S
5,0,S,resolved,251.54,25.76,TICS.5S
5,0,S,resolved,283.54,23.09,TICS.5S
5,0,S,resolved,315.54,20.93,TICS.5S
5,0,S,resolved,379.54,17.66,TICS.5S
5,0,S,resolved,443.54,15.3,TICS.5S
5,0,S,resolved,507.54,13.51,TICS.5S
5,0,S,resolved,571.54,12.11,TICS.5S
5,0,S,resolved,635.54,10.98,TICS.5S
5,0,S,resolved,699.54,10.04,TICS.5S
5,0,S,resolved,763.54,9.263,TICS.5S
5,0,S,resolved,827.54,8.599,TICS.5S
5,0,S,resolved,891.54,8.026,TICS.5S
5,0,S,resolved,955.54,7.527,TICS.5S
6,-1,bundled,bundled,0.3779389,0.0,TICS.6
6,-1,bundled,bundled,0.47214,1095.19,TICS.6
6,-1,bundled,bundled,0.57794,2061.78,TICS.6
6,-1,bundled,bundled,0.77794,2868.64,TICS.6
6,-1,bundled,bundled,0.97794,2922.86,TICS.6
6,-1,bundled,bundled,1.1779,2765.33,TICS.6
6,-1,bundled,bundled,1.3779,2543.44,TICS.6
6,-1,bundled,bundled,2.3779,1851.81,TICS.6
6,-1,bundled,bundled,3.3779,1465.33,TICS.6
6,-1,bundled,bundled,4.3779,1229.56,TICS.6
6,-1,bundled,bundled,5.3779,1058.69,TICS.6
6,-1,bundled,bundled,7.3779,832.711,TICS.6
6,-1,bundled,bundled,9.3779,681.236,TICS.6
6,-1,bundled,bundled,11.378,577.27,TICS.6
6,-1,bundled,bundled,13.378,500.686,TICS.6
6,-1,bundled,bundled,15.378,441.856,TICS.6
6,-1,bundled,bundled,19.378,358.781,TICS.6
6,-1,bundled,bundled,23.378,300.464,TICS.6
6,-1,bundled,bundled,27.378,258.686,TICS.6
6,-1,bundled,bundled,31.378,227.339,TICS.6
6,-1,bundled,bundled,35.378,203.0,TICS.6
6,-1,bundled,bundled,43.378,167.494,TICS.6
6,-1,bundled,bundled,51.378,142.75,TICS.6
6,-1,bundled,bundled,59.378,124.381,TICS.6
6,-1,bundled,bundled,67.378,110.331,TICS.6
6,-1,bundled,bundled,75.378,99.1956,TICS.6
6,-1,bundled,bundled,91.378,82.505,TICS.6
6,-1,bundled,bundled,107.38,70.7427,TICS.6
6,-1,bundled,bundled,123.38,61.9719,TICS.6
6,-1,bundled,bundled,139.38,55.1575,TICS.6
6,-1,bundled,bundled,155.38,49.7173,TICS.6
6,-1,bundled,bundled,187.38,41.5484,TICS.6
6,-1,bundled,bundled,219.38,35.7342,TICS.6
6,-1,bundled,bundled,251.38,31.3662,TICS.6
6,-1,bundled,bundled,283.38,27.9714,TICS.6
6,-1,bundled,bundled,315.38,25.2505,TICS.6
6,-1,bundled,bundled,379.38,21.1533,TICS.6
6,-1,bundled,bundled,443.38,18.2186,TICS.6
6,-1,bundled,bundled,507.38,16.0103,TICS.6
6,-1,bundled,bundled,571.38,14.2861,TICS.6
6,-1,bundled,bundled,635.38,12.9022,TICS.6
6,-1,bundled,bundled,699.38,11.7677,TICS.6
6,-1,bundled,bundled,763.38,10.8206,TICS.6
6,-1,bundled,bundled,827.38,10.0158,TICS.6
6,-1,bundled,bundled,891.38,9.3245,TICS.6
6,-1,bundled,bundled,955.38,8.72494,TICS.6
6,2,D,resolved,0.3779389,0.0,TICS.6D
6,2,D,resolved,0.47214,1036.0,TICS.6D
6,2,D,resolved,0.57794,1898.0,TICS.6D
6,2,D,resolved,0.77794,2435.0,TICS.6D
6,2,D,resolved,0.97794,2378.0,TICS.6D
6,2,D,resolved,1.1779,2200.0,TICS.6D
6,2,D,resolved,1.3779,2013.0,TICS.6D
6,2,D,resolved,2.3779,1502.0,TICS.6D
6,2,D,resolved,3.3779,1232.0,TICS.6D
6,2,D,resolved,4.3779,1070.0,TICS.6D
6,2,D,resolved,5.3779,944.9,TICS.6D
6,2,D,resolved,7.3779,771.1,TICS.6D
6,2,D,resolved,9.3779,646.5,TICS.6D
6,2,D,resolved,11.378,558.3,TICS.6D
6,2,D,resolved,13.378,492.6,TICS.6D
6,2,D,resolved,15.378,439.5,TICS.6D
6,2,D,resolved,19.378,365.3,TICS.6D
6,2,D,resolved,23.378,310.0,TICS.6D
6,2,D,resolved,27.378,269.6,TICS.6D
6,2,D,resolved,31.378,238.9,TICS.6D
6,2,D,resolved,35.378,214.9,TICS.6D
6,2,D,resolved,43.378,179.4,TICS.6D
6,2,D,resolved,51.378,154.2,TICS.6D
6,2,D,resolved,59.378,135.4,TICS.6D
6,2,D,resolved,67.378,120.7,TICS.6D
6,2,D,resolved,75.378,109.1,TICS.6D
6,2,D,resolved,91.378,91.62,TICS.6D
6,2,D,resolved,107.38,79.05,TICS.6D
6,2,D,resolved,123.38,69.6,TICS.6D
6,2,D,resolved,139.38,62.22,TICS.6D
6,2,D,resolved,155.38,56.3,TICS.6D
6,2,D,resolved,187.38,47.38,TICS.6D
6,2,D,resolved,219.38,40.95,TICS.6D
6,2,D,resolved,251.38,36.1,TICS.6D
6,2,D,resolved,283.38,32.31,TICS.6D
6,2,D,resolved,315.38,29.26,TICS.6D
6,2,D,resolved,379.38,24.65,TICS.6D
6,2,D,resolved,443.38,21.32,TICS.6D
6,2,D,resolved,507.38,18.81,TICS.6D
6,2,D,resolved,571.38,16.84,TICS.6D
6,2,D,resolved,635.38,15.26,TICS.6D
6,2,D,resolved,699.38,13.95,TICS.6D
6,2,D,resolved,763.38,12.86,TICS.6D
6,2,D,resolved,827.38,11.93,TICS.6D
6,2,D,resolved,891.38,11.13,TICS.6D
6,2,D,resolved,955.38,10.43,TICS.6D
6,3,F,resolved,0.3779389,0.0,TICS.6F
6,3,F,resolved,0.47214,1073.0,TICS.6F
6,3,F,resolved,0.57794,2035.0,TICS.6F
6,3,F,resolved,0.77794,2695.0,TICS.6F
6,3,F,resolved,0.97794,2680.0,TICS.6F
6,3,F,resolved,1.1779,2488.0,TICS.6F
6,3,F,resolved,1.3779,2264.0,TICS.6F
6,3,F,resolved,2.3779,1664.0,TICS.6F
6,3,F,resolved,3.3779,1343.0,TICS.6F
6,3,F,resolved,4.3779,1149.0,TICS.6F
6,3,F,resolved,5.3779,1004.0,TICS.6F
6,3,F,resolved,7.3779,810.9,TICS.6F
6,3,F,resolved,9.3779,677.2,TICS.6F
6,3,F,resolved,11.378,582.8,TICS.6F
6,3,F,resolved,13.378,512.1,TICS.6F
6,3,F,resolved,15.378,456.2,TICS.6F
6,3,F,resolved,19.378,376.4,TICS.6F
6,3,F,resolved,23.378,318.4,TICS.6F
6,3,F,resolved,27.378,276.2,TICS.6F
6,3,F,resolved,31.378,244.2,TICS.6F
6,3,F,resolved,35.378,219.2,TICS.6F
6,3,F,resolved,43.378,182.4,TICS.6F
6,3,F,resolved,51.378,156.4,TICS.6F
6,3,F,resolved,59.378,137.0,TICS.6F
6,3,F,resolved,67.378,122.0,TICS.6F
6,3,F,resolved,75.378,110.0,TICS.6F
6,3,F,resolved,91.378,92.11,TICS.6F
6,3,F,resolved,107.38,79.23,TICS.6F
6,3,F,resolved,123.38,69.59,TICS.6F
6,3,F,resolved,139.38,62.08,TICS.6F
6,3,F,resolved,155.38,56.06,TICS.6F
6,3,F,resolved,187.38,47.04,TICS.6F
6,3,F,resolved,219.38,40.56,TICS.6F
6,3,F,resolved,251.38,35.68,TICS.6F
6,3,F,resolved,283.38,31.88,TICS.6F
6,3,F,resolved,315.38,28.83,TICS.6F
6,3,F,resolved,379.38,24.22,TICS.6F
6,3,F,resolved,443.38,20.91,TICS.6F
6,3,F,resolved,507.38,18.41,TICS.6F
6,3,F,resolved,571.38,16.46,TICS.6F
6,3,F,resolved,635.38,14.89,TICS.6F
6,3,F,resolved,699.38,13.6,TICS.6F
6,3,F,resolved,763.38,12.52,TICS.6F
6,3,F,resolved,827.38,11.6,TICS.6F
6,3,F,resolved,891.38,10.81,TICS.6F
6,3,F,resolved,955.38,10.13,TICS.6F
6,4,G,resolved,0.3779389,0.0,TICS.6G
6,4,G,resolved,0.47214,1108.0,TICS.6G
6,4,G,resolved,0.57794,2122.0,TICS.6G
6,4,G,resolved,0.77794,2979.0,TICS.6G
6,4,G,resolved,0.97794,3052.0,TICS.6G
6,4,G,resolved,1.1779,2879.0,TICS.6G
6,4,G,resolved,1.3779,2630.0,TICS.6G
6,4,G,resolved,2.3779,1890.0,TICS.6G
6,4,G,resolved,3.3779,1487.0,TICS.6G
6,4,G,resolved,4.3779,1234.0,TICS.6G
6,4,G,resolved,5.3779,1051.0,TICS.6G
6,4,G,resolved,7.3779,813.8,TICS.6G
6,4,G,resolved,9.3779,659.2,TICS.6G
6,4,G,resolved,11.378,555.1,TICS.6G
6,4,G,resolved,13.378,479.5,TICS.6G
6,4,G,resolved,15.378,422.4,TICS.6G
6,4,G,resolved,19.378,342.1,TICS.6G
6,4,G,resolved,23.378,286.4,TICS.6G
6,4,G,resolved,27.378,246.5,TICS.6G
6,4,G,resolved,31.378,216.5,TICS.6G
6,4,G,resolved,35.378,193.1,TICS.6G
6,4,G,resolved,43.378,158.8,TICS.6G
6,4,G,resolved,51.378,135.0,TICS.6G
6,4,G,resolved,59.378,117.3,TICS.6G
6,4,G,resolved,67.378,103.8,TICS.6G
6,4,G,resolved,75.378,93.14,TICS.6G
6,4,G,resolved,91.378,77.15,TICS.6G
6,4,G,resolved,107.38,65.95,TICS.6G
6,4,G,resolved,123.38,57.62,TICS.6G
6,4,G,resolved,139.38,51.16,TICS.6G
6,4,G,resolved,155.38,46.03,TICS.6G
6,4,G,resolved,187.38,38.33,TICS.6G
6,4,G,resolved,219.38,32.88,TICS.6G
6,4,G,resolved,251.38,28.79,TICS.6G
6,4,G,resolved,283.38,25.62,TICS.6G
6,4,G,resolved,315.38,23.09,TICS.6G
6,4,G,resolved,379.38,19.28,TICS.6G
6,4,G,resolved,443.38,16.57,TICS.6G
6,4,G,resolved,507.38,14.53,TICS.6G
6,4,G,resolved,571.38,12.94,TICS.6G
6,4,G,resolved,635.38,11.66,TICS.6G
6,4,G,resolved,699.38,10.62,TICS.6G
6,4,G,resolved,763.38,9.753,TICS.6G
6,4,G,resolved,827.38,9.017,TICS.6G
6,4,G,resolved,891.38,8.385,TICS.6G
6,4,G,resolved,955.38,7.837,TICS.6G
6,5,H,resolved,0.3779389,0.0,TICS.6H
6,5,H,resolved,0.47214,1168.0,TICS.6H
6,5,H,resolved,0.57794,2214.0,TICS.6H
6,5,H,resolved,0.77794,3315.0,TICS.6H
6,5,H,resolved,0.97794,3490.0,TICS.6H
6,5,H,resolved,1.1779,3384.0,TICS.6H
6,5,H,resolved,1.3779,3148.0,TICS.6H
6,5,H,resolved,2.3779,2264.0,TICS.6H
6,5,H,resolved,3.3779,1743.0,TICS.6H
6,5,H,resolved,4.3779,1429.0,TICS.6H
6,5,H,resolved,5.3779,1209.0,TICS.6H
6,5,H,resolved,7.3779,924.6,TICS.6H
6,5,H,resolved,9.3779,741.5,TICS.6H
6,5,H,resolved,11.378,617.5,TICS.6H
6,5,H,resolved,13.378,526.1,TICS.6H
6,5,H,resolved,15.378,458.7,TICS.6H
6,5,H,resolved,19.378,362.5,TICS.6H
6,5,H,resolved,23.378,298.5,TICS.6H
6,5,H,resolved,27.378,253.7,TICS.6H
6,5,H,resolved,31.378,220.6,TICS.6H
6,5,H,resolved,35.378,195.2,TICS.6H
6,5,H,resolved,43.378,158.8,TICS.6H
6,5,H,resolved,51.378,133.9,TICS.6H
6,5,H,resolved,59.378,115.6,TICS.6H
6,5,H,resolved,67.378,101.9,TICS.6H
6,5,H,resolved,75.378,91.08,TICS.6H
6,5,H,resolved,91.378,74.88,TICS.6H
6,5,H,resolved,107.38,63.78,TICS.6H
6,5,H,resolved,123.38,55.57,TICS.6H
6,5,H,resolved,139.38,49.23,TICS.6H
6,5,H,resolved,155.38,44.19,TICS.6H
6,5,H,resolved,187.38,36.63,TICS.6H
6,5,H,resolved,219.38,31.33,TICS.6H
6,5,H,resolved,251.38,27.37,TICS.6H
6,5,H,resolved,283.38,24.31,TICS.6H
6,5,H,resolved,315.38,21.86,TICS.6H
6,5,H,resolved,379.38,18.2,TICS.6H
6,5,H,resolved,443.38,15.59,TICS.6H
6,5,H,resolved,507.38,13.64,TICS.6H
6,5,H,resolved,571.38,12.12,TICS.6H
6,5,H,resolved,635.38,10.91,TICS.6H
6,5,H,resolved,699.38,9.919,TICS.6H
6,5,H,resolved,763.38,9.094,TICS.6H
6,5,H,resolved,827.38,8.395,TICS.6H
6,5,H,resolved,891.38,7.797,TICS.6H
6,5,H,resolved,955.38,7.279,TICS.6H
6,1,P,resolved,0.3779389,0.0,TICS.6P
6,1,P,resolved,0.47214,980.7,TICS.6P
6,1,P,resolved,0.57794,1777.0,TICS.6P
6,1,P,resolved,0.77794,2256.0,TICS.6P
6,1,P,resolved,0.97794,2198.0,TICS.6P
6,1,P,resolved,1.1779,2021.0,TICS.6P
6,1,P,resolved,1.3779,1855.0,TICS.6P
6,1,P,resolved,2.3779,1409.0,TICS.6P
6,1,P,resolved,3.3779,1167.0,TICS.6P
6,1,P,resolved,4.3779,1017.0,TICS.6P
6,1,P,resolved,5.3779,904.4,TICS.6P
6,1,P,resolved,7.3779,741.0,TICS.6P
6,1,P,resolved,9.3779,618.9,TICS.6P
6,1,P,resolved,11.378,533.8,TICS.6P
6,1,P,resolved,13.378,471.6,TICS.6P
6,1,P,resolved,15.378,420.1,TICS.6P
6,1,P,resolved,19.378,349.8,TICS.6P
6,1,P,resolved,23.378,296.7,TICS.6P
6,1,P,resolved,27.378,257.8,TICS.6P
6,1,P,resolved,31.378,228.4,TICS.6P
6,1,P,resolved,35.378,205.4,TICS.6P
6,1,P,resolved,43.378,171.6,TICS.6P
6,1,P,resolved,51.378,147.7,TICS.6P
6,1,P,resolved,59.378,129.8,TICS.6P
6,1,P,resolved,67.378,115.9,TICS.6P
6,1,P,resolved,75.378,104.8,TICS.6P
6,1,P,resolved,91.378,88.12,TICS.6P
6,1,P,resolved,107.38,76.12,TICS.6P
6,1,P,resolved,123.38,67.1,TICS.6P
6,1,P,resolved,139.38,60.04,TICS.6P
6,1,P,resolved,155.38,54.36,TICS.6P
6,1,P,resolved,187.38,45.81,TICS.6P
6,1,P,resolved,219.38,39.64,TICS.6P
6,1,P,resolved,251.38,34.98,TICS.6P
6,1,P,resolved,283.38,31.33,TICS.6P
6,1,P,resolved,315.38,28.4,TICS.6P
6,1,P,resolved,379.38,23.95,TICS.6P
6,1,P,resolved,443.38,20.74,TICS.6P
6,1,P,resolved,507.38,18.31,TICS.6P
6,1,P,resolved,571.38,16.41,TICS.6P
6,1,P,resolved,635.38,14.87,TICS.6P
6,1,P,resolved,699.38,13.61,TICS.6P
6,1,P,resolved,763.38,12.55,TICS.6P
6,1,P,resolved,827.38,11.65,TICS.6P
6,1,P,resolved,891.38,10.87,TICS.6P
6,1,P,resolved,955.38,10.19,TICS.6P
6,0,S,resolved,0.3779389,0.0,TICS.6S
6,0,S,resolved,0.47214,973.9,TICS.6S
6,0,S,resolved,0.57794,1706.0,TICS.6S
6,0,S,resolved,0.77794,2187.0,TICS.6S
6,0,S,resolved,0.97794,2121.0,TICS.6S
6,0,S,resolved,1.1779,1938.0,TICS.6S
6,0,S,resolved,1.3779,1788.0,TICS.6S
6,0,S,resolved,2.3779,1366.0,TICS.6S
6,0,S,resolved,3.3779,1134.0,TICS.6S
6,0,S,resolved,4.3779,995.0,TICS.6S
6,0,S,resolved,5.3779,889.0,TICS.6S
6,0,S,resolved,7.3779,728.0,TICS.6S
6,0,S,resolved,9.3779,605.6,TICS.6S
6,0,S,resolved,11.378,520.8,TICS.6S
6,0,S,resolved,13.378,459.6,TICS.6S
6,0,S,resolved,15.378,408.3,TICS.6S
6,0,S,resolved,19.378,339.0,TICS.6S
6,0,S,resolved,23.378,286.7,TICS.6S
6,0,S,resolved,27.378,248.7,TICS.6S
6,0,S,resolved,31.378,220.0,TICS.6S
6,0,S,resolved,35.378,197.8,TICS.6S
6,0,S,resolved,43.378,165.2,TICS.6S
6,0,S,resolved,51.378,142.2,TICS.6S
6,0,S,resolved,59.378,125.0,TICS.6S
6,0,S,resolved,67.378,111.6,TICS.6S
6,0,S,resolved,75.378,101.0,TICS.6S
6,0,S,resolved,91.378,84.92,TICS.6S
6,0,S,resolved,107.38,73.39,TICS.6S
6,0,S,resolved,123.38,64.71,TICS.6S
6,0,S,resolved,139.38,57.92,TICS.6S
6,0,S,resolved,155.38,52.46,TICS.6S
6,0,S,resolved,187.38,44.23,TICS.6S
6,0,S,resolved,219.38,38.29,TICS.6S
6,0,S,resolved,251.38,33.8,TICS.6S
6,0,S,resolved,283.38,30.28,TICS.6S
6,0,S,resolved,315.38,27.44,TICS.6S
6,0,S,resolved,379.38,23.16,TICS.6S
6,0,S,resolved,443.38,20.06,TICS.6S
6,0,S,resolved,507.38,17.71,TICS.6S
6,0,S,resolved,571.38,15.87,TICS.6S
6,0,S,resolved,635.38,14.39,TICS.6S
6,0,S,resolved,699.38,13.17,TICS.6S
6,0,S,resolved,763.38,12.14,TICS.6S
6,0,S,resolved,827.38,11.27,TICS.6S
6,0,S,resolved,891.38,10.52,TICS.6S
6,0,S,resolved,955.38,9.866,TICS.6S
7,-1,bundled,bundled,0.2776694,0.0,TICS.7
7,-1,bundled,bundled,0.37187,2283.85,TICS.7
7,-1,bundled,bundled,0.47767,3824.5,TICS.7
7,-1,bundled,bundled,0.67767,4485.43,TICS.7
7,-1,bundled,bundled,0.87767,4250.78,TICS.7
7,-1,bundled,bundled,1.0777,3877.85,TICS.7
7,-1,bundled,bundled,1.2777,3524.35,TICS.7
7,-1,bundled,bundled,2.2777,2406.47,TICS.7
7,-1,bundled,bundled,3.2777,1841.77,TICS.7
7,-1,bundled,bundled,4.2777,1502.63,TICS.7
7,-1,bundled,bundled,5.2777,1266.41,TICS.7
7,-1,bundled,bundled,7.2777,975.25,TICS.7
7,-1,bundled,bundled,9.2777,791.857,TICS.7
7,-1,bundled,bundled,11.278,668.413,TICS.7
7,-1,bundled,bundled,13.278,581.13,TICS.7
7,-1,bundled,bundled,15.278,510.576,TICS.7
7,-1,bundled,bundled,19.278,415.669,TICS.7
7,-1,bundled,bundled,23.278,347.618,TICS.7
7,-1,bundled,bundled,27.278,298.102,TICS.7
7,-1,bundled,bundled,31.278,260.714,TICS.7
7,-1,bundled,bundled,35.278,231.763,TICS.7
7,-1,bundled,bundled,43.278,190.412,TICS.7
7,-1,bundled,bundled,51.278,161.957,TICS.7
7,-1,bundled,bundled,59.278,141.119,TICS.7
7,-1,bundled,bundled,67.278,125.113,TICS.7
7,-1,bundled,bundled,75.278,112.407,TICS.7
7,-1,bundled,bundled,91.278,93.43,TICS.7
7,-1,bundled,bundled,107.28,80.0936,TICS.7
7,-1,bundled,bundled,123.28,70.1442,TICS.7
7,-1,bundled,bundled,139.28,62.4279,TICS.7
7,-1,bundled,bundled,155.28,56.2666,TICS.7
7,-1,bundled,bundled,187.28,47.0139,TICS.7
7,-1,bundled,bundled,219.28,40.4363,TICS.7
7,-1,bundled,bundled,251.28,35.4962,TICS.7
7,-1,bundled,bundled,283.28,31.6485,TICS.7
7,-1,bundled,bundled,315.28,28.5677,TICS.7
7,-1,bundled,bundled,379.28,23.9356,TICS.7
7,-1,bundled,bundled,443.28,20.6147,TICS.7
7,-1,bundled,bundled,507.28,18.1161,TICS.7
7,-1,bundled,bundled,571.28,16.1669,TICS.7
7,-1,bundled,bundled,635.28,14.6016,TICS.7
7,-1,bundled,bundled,699.28,13.3173,TICS.7
7,-1,bundled,bundled,763.28,12.2459,TICS.7
7,-1,bundled,bundled,827.28,11.3354,TICS.7
7,-1,bundled,bundled,891.28,10.5531,TICS.7
7,-1,bundled,bundled,955.28,9.87471,TICS.7
7,2,D,resolved,0.2776694,0.0,TICS.7D
7,2,D,resolved,0.37187,2059.0,TICS.7D
7,2,D,resolved,0.47767,3171.0,TICS.7D
7,2,D,resolved,0.67767,3521.0,TICS.7D
7,2,D,resolved,0.87767,3334.0,TICS.7D
7,2,D,resolved,1.0777,3092.0,TICS.7D
7,2,D,resolved,1.2777,2850.0,TICS.7D
7,2,D,resolved,2.2777,2108.0,TICS.7D
7,2,D,resolved,3.2777,1729.0,TICS.7D
7,2,D,resolved,4.2777,1478.0,TICS.7D
