sparse_idx,i,j,label_i,label_j,source,g_i,g_j,E_pn_eV
106,3,11,3S,5P,CCC,2,6,0.96752356
107,3,12,3S,5D,CCC,2,10,0.96752356
108,3,13,3S,5F,CCC,2,14,0.96752356
109,3,14,3S,5G,CCC,2,18,0.96752356
110,3,15,3S,6S,CCC,2,2,1.13381667
111,3,16,3S,6P,CCC,2,6,1.13381667
112,3,17,3S,6D,CCC,2,10,1.13381667
113,3,18,3S,6F,CCC,2,14,1.13381667
114,3,19,3S,6G,CCC,2,18,1.13381667
115,3,20,3S,6H,CCC,2,22,1.13381667
116,3,21,3S,7S,CCC,2,2,1.23408617
117,3,22,3S,7P,CCC,2,6,1.23408617
118,3,23,3S,7D,CCC,2,10,1.23408617
119,3,24,3S,7F,CCC,2,14,1.23408617
120,3,25,3S,7G,CCC,2,18,1.23408617
121,3,26,3S,7H,CCC,2,22,1.23408617
122,3,27,3S,7I,CCC,2,26,1.23408617
123,3,28,3S,8S,CCC,2,2,1.29916493
124,3,29,3S,8P,CCC,2,6,1.29916493
125,3,30,3S,8D,CCC,2,10,1.29916493
126,3,31,3S,8F,CCC,2,14,1.29916493
127,3,32,3S,8G,CCC,2,18,1.29916493
128,3,33,3S,8H,CCC,2,22,1.29916493
129,3,34,3S,8I,CCC,2,26,1.29916493
130,3,35,3S,8J,CCC,2,30,1.29916493
131,4,6,3P,4S,CCC,6,2,0.66139306
132,4,7,3P,4P,CCC,6,6,0.66139306
133,4,8,3P,4D,CCC,6,10,0.66139306
134,4,9,3P,4F,CCC,6,14,0.66139306
135,4,10,3P,5S,CCC,6,2,0.96752356
136,4,11,3P,5P,CCC,6,6,0.96752356
137,4,12,3P,5D,CCC,6,10,0.96752356
138,4,13,3P,5F,CCC,6,14,0.96752356
139,4,14,3P,5G,CCC,6,18,0.96752356
140,4,15,3P,6S,CCC,6,2,1.13381667
141,4,16,3P,6P,CCC,6,6,1.13381667
142,4,17,3P,6D,CCC,6,10,1.13381667
143,4,18,3P,6F,CCC,6,14,1.13381667
144,4,19,3P,6G,CCC,6,18,1.13381667
145,4,20,3P,6H,CCC,6,22,1.13381667
146,4,21,3P,7S,CCC,6,2,1.23408617
147,4,22,3P,7P,CCC,6,6,1.23408617
148,4,23,3P,7D,CCC,6,10,1.23408617
149,4,24,3P,7F,CCC,6,14,1.23408617
150,4,25,3P,7G,CCC,6,18,1.23408617
151,4,26,3P,7H,CCC,6,22,1.23408617
152,4,27,3P,7I,CCC,6,26,1.23408617
153,4,28,3P,8S,CCC,6,2,1.29916493
154,4,29,3P,8P,CCC,6,6,1.29916493
155,4,30,3P,8D,CCC,6,10,1.29916493
156,4,31,3P,8F,CCC,6,14,1.29916493
157,4,32,3P,8G,CCC,6,18,1.29916493
158,4,33,3P,8H,CCC,6,22,1.29916493
159,4,34,3P,8I,CCC,6,26,1.29916493
160,4,35,3P,8J,CCC,6,30,1.29916493
161,5,6,3D,4S,CCC,10,2,0.66139306
