ni,li,nf,lf,threshold_eV,n_points,sigma_max_cm2,filename
10,2,6,3,13.500000,47,2.395362e-15,:D.6F
9,4,7,3,13.500000,47,1.255647e-13,9G.7F
10,9,5,1,13.500000,47,1.171918e-15,:L.5P
7,5,8,3,13.393320,50,1.452787e-11,7H.8F
6,2,7,3,13.328199,55,2.028805e-11,6D.7F
5,4,6,3,13.228975,58,1.019863e-12,5G.6F
10,0,8,6,13.500000,47,2.814284e-15,:S.8I
8,2,5,0,13.393320,50,2.657189e-15,8D.5S
9,1,9,6,13.500000,47,1.787701e-13,9P.9I
6,5,7,1,13.328199,55,1.853227e-11,6H.7P
9,2,9,7,13.500000,47,3.606764e-13,9D.9J
8,1,5,1,13.393320,50,1.548276e-15,8P.5P
10,4,8,7,13.500000,47,2.887092e-14,:G.8J
10,1,3,0,13.500000,47,3.729977e-17,:P.3S
8,4,8,1,13.393320,50,4.214426e-10,8G.8P
9,0,2,0,13.500000,47,3.167120e-18,9S.2S
9,4,2,1,13.500000,47,8.104019e-18,9G.2P
8,0,8,0,13.393320,50,9.554566e-09,8S.8S
10,2,3,1,13.500000,47,5.398946e-17,:D.3P
5,1,1,0,13.061780,63,1.581880e-18,5P.1S
10,5,9,0,13.500000,47,4.578463e-13,:H.9S
5,2,7,6,13.328199,55,1.108632e-11,5D.7I
9,8,8,0,13.500000,47,1.134955e-13,9K.8S
7,2,7,0,13.328199,55,1.283650e-09,7D.7S
8,5,9,6,13.500000,47,3.528357e-12,8H.9I
7,1,7,1,13.328199,55,1.820184e-08,7P.7P
10,8,4,1,13.500000,47,3.060709e-16,:K.4P
4,0,6,1,13.228975,58,2.430366e-13,4S.6P
9,5,5,1,13.500000,47,2.757439e-15,9H.5P
9,0,8,3,13.500000,47,1.984000e-14,9S.8F
10,1,9,3,13.500000,47,1.975040e-13,:P.9F
10,4,4,3,13.500000,47,4.253630e-16,:G.4F
9,2,5,3,13.500000,47,1.646566e-15,9D.5F
5,0,9,3,13.500000,47,2.225945e-15,5S.9F
6,1,8,3,13.393320,50,3.223126e-12,6P.8F
6,4,5,3,13.228975,58,2.203823e-13,6G.5F
5,2,4,3,13.061780,63,7.227530e-15,5D.4F
6,5,8,0,13.393320,50,6.639471e-12,6H.8S
10,4,7,6,13.500000,47,1.065228e-14,:G.7I
7,5,2,0,13.328199,55,9.918602e-18,7H.2S
10,0,1,0,13.500000,47,5.774183e-20,:S.1S
8,0,7,1,13.393320,50,9.448155e-14,8S.7P
8,4,7,0,13.393320,50,1.294571e-13,8G.7S
10,1,5,2,13.500000,47,5.398946e-16,:P.5D
9,0,4,2,13.500000,47,1.191520e-16,9S.4D
10,2,5,4,13.500000,47,8.372846e-16,:D.5G
8,2,3,2,13.393320,50,1.493391e-16,8D.3D
10,0,8,4,13.500000,47,2.884291e-15,:S.8G
9,1,9,4,13.500000,47,4.147219e-13,9P.9G
9,2,9,2,13.500000,47,1.624164e-11,9D.9D
10,4,8,2,13.500000,47,1.272729e-13,:G.8D
6,2,7,5,13.328199,55,1.835305e-11,6D.7H
5,4,6,5,13.228975,58,1.618004e-12,5G.6H
7,5,8,5,13.393320,50,1.698932e-11,7H.8H
10,2,6,5,13.500000,47,2.043086e-15,:D.6H
9,4,7,5,13.500000,47,2.102732e-14,9G.7H
5,4,5,4,13.061780,63,1.260967e-09,5G.5G
6,1,4,2,13.228975,58,2.323115e-15,6P.4D
5,0,5,2,13.061780,63,1.246966e-10,5S.5D
8,5,6,2,13.393320,50,1.469589e-14,8H.6D
5,2,8,2,13.393320,50,3.069110e-12,5D.8D
6,4,9,2,13.500000,47,3.556359e-14,6G.9D
6,0,9,4,13.500000,47,3.771981e-15,6S.9G
5,1,8,4,13.393320,50,2.175260e-12,5P.8G
7,4,3,2,13.328199,55,3.822386e-16,7G.3D
9,2,6,4,13.500000,47,4.514056e-15,9D.6G
10,4,7,4,13.500000,47,1.153997e-14,:G.7G
7,5,4,2,13.328199,55,1.980920e-15,7H.4D
10,0,7,2,13.500000,47,1.739256e-15,:S.7D
9,1,6,2,13.500000,47,3.256729e-15,9P.6D
5,4,9,8,13.500000,47,6.992307e-15,5G.9K
5,0,9,5,13.500000,47,1.811503e-15,5S.9H
6,1,8,5,13.393320,50,3.049508e-12,6P.8H
9,0,8,5,13.500000,47,6.549862e-15,9S.8H
10,1,9,5,13.500000,47,1.960198e-14,:P.9H
10,2,9,8,13.500000,47,3.595563e-14,:D.9K
8,5,9,4,13.500000,47,1.321734e-13,8H.9G
6,0,6,2,13.228975,58,6.684275e-12,6S.6D
5,1,7,2,13.328199,55,8.207629e-12,5P.7D
5,2,7,4,13.328199,55,1.043665e-11,5D.7G
6,4,6,4,13.228975,58,7.350743e-10,6G.6G
10,5,9,4,13.500000,47,5.051710e-12,:H.9G
9,8,8,4,13.500000,47,1.672329e-13,9K.8G
7,2,7,4,13.328199,55,5.575363e-10,7D.7G
7,1,7,2,13.328199,55,1.796101e-07,7P.7D
10,8,4,2,13.500000,47,2.917895e-16,:K.4D
4,0,6,2,13.228975,58,1.266288e-13,4S.6D
9,5,5,2,13.500000,47,2.728596e-15,9H.5D
8,2,9,8,13.500000,47,7.723180e-14,8D.9K
8,1,9,5,13.500000,47,7.675576e-14,8P.9H
4,1,8,5,13.393320,50,6.230630e-13,4P.8H
7,0,9,5,13.500000,47,5.642570e-15,7S.9H
7,4,9,8,13.500000,47,7.560764e-14,7G.9K
6,5,8,4,13.393320,50,1.347216e-11,6H.8G
8,0,7,2,13.393320,50,3.094313e-14,8S.7D
8,4,7,4,13.393320,50,8.804090e-14,8G.7G
10,9,9,5,13.500000,47,2.692752e-13,:L.9H
