n_i,l_i,l_i_char,n_f,l_f,l_f_char,E_eV,sigma_a0sq,filename
2,1,P,1,0,S,3.85e-05,32890.0,1S.2P
2,1,P,1,0,S,7.02e-05,17350.0,1S.2P
2,1,P,1,0,S,0.000128,9215.0,1S.2P
2,1,P,1,0,S,0.0002332,4963.0,1S.2P
2,1,P,1,0,S,0.0004249,2711.0,1S.2P
2,1,P,1,0,S,0.0007743,1506.0,1S.2P
2,1,P,1,0,S,0.0014108,858.0,1S.2P
2,1,P,1,0,S,0.0025707,507.4,1S.2P
2,1,P,1,0,S,0.0046841,322.7,1S.2P
2,1,P,1,0,S,0.008535,250.8,1S.2P
2,1,P,1,0,S,0.0155517,289.7,1S.2P
2,1,P,1,0,S,0.0283371,155.8,1S.2P
2,1,P,1,0,S,0.0516335,60.81,1S.2P
2,1,P,1,0,S,0.0940823,26.62,1S.2P
2,1,P,1,0,S,0.1714292,13.78,1S.2P
2,1,P,1,0,S,0.3123644,7.691,1S.2P
2,1,P,1,0,S,0.569165,4.911,1S.2P
2,1,P,1,0,S,1.0370863,3.534,1S.2P
2,1,P,1,0,S,1.8897392,2.362,1S.2P
2,1,P,1,0,S,1.8898431,2.359,1S.2P
2,1,P,1,0,S,1.8901882,2.35,1S.2P
2,1,P,1,0,S,1.8913338,2.321,1S.2P
2,1,P,1,0,S,1.8951375,2.307,1S.2P
2,1,P,1,0,S,1.9077661,2.336,1S.2P
2,1,P,1,0,S,1.9496946,2.305,1S.2P
2,1,P,1,0,S,2.0889022,2.173,1S.2P
2,1,P,1,0,S,2.5511563,1.998,1S.2P
2,1,P,1,0,S,2.5513161,2.0,1S.2P
2,1,P,1,0,S,2.5518463,2.001,1S.2P
2,1,P,1,0,S,2.5536069,1.999,1S.2P
2,1,P,1,0,S,2.5594521,1.995,1S.2P
2,1,P,1,0,S,2.578859,1.985,1S.2P
2,1,P,1,0,S,2.6432922,1.936,1S.2P
2,1,P,1,0,S,2.8574296,1.882,1S.2P
2,1,P,1,0,S,2.8580209,1.886,1S.2P
2,1,P,1,0,S,2.8602638,1.958,1S.2P
2,1,P,1,0,S,2.8687726,1.898,1S.2P
2,1,P,1,0,S,2.9010524,1.835,1S.2P
2,1,P,1,0,S,3.024625,1.836,1S.2P
2,1,P,1,0,S,3.0285032,1.833,1S.2P
2,1,P,1,0,S,3.0458842,1.822,1S.2P
2,1,P,1,0,S,3.1238491,1.824,1S.2P
2,1,P,1,0,S,3.1241607,1.804,1S.2P
2,1,P,1,0,S,3.1258913,1.811,1S.2P
2,1,P,1,0,S,3.13065,1.801,1S.2P
2,1,P,1,0,S,3.1355008,1.803,1S.2P
2,1,P,1,0,S,3.18897,1.805,1S.2P
2,1,P,1,0,S,3.1896766,1.797,1S.2P
2,1,P,1,0,S,3.1948978,1.79,1S.2P
2,1,P,1,0,S,3.29565,1.766,1S.2P
2,1,P,1,0,S,3.39565,1.748,1S.2P
2,1,P,1,0,S,3.49565,1.709,1S.2P
2,1,P,1,0,S,3.60145,1.706,1S.2P
2,1,P,1,0,S,3.80145,1.676,1S.2P
2,1,P,1,0,S,4.00145,1.646,1S.2P
2,1,P,1,0,S,4.20145,1.608,1S.2P
2,1,P,1,0,S,4.40145,1.585,1S.2P
2,1,P,1,0,S,5.40145,1.481,1S.2P
2,1,P,1,0,S,6.40145,1.403,1S.2P
2,1,P,1,0,S,7.40145,1.349,1S.2P
2,1,P,1,0,S,8.40145,1.316,1S.2P
2,1,P,1,0,S,10.40145,1.252,1S.2P
2,1,P,1,0,S,12.40145,1.207,1S.2P
2,1,P,1,0,S,14.40145,1.177,1S.2P
2,1,P,1,0,S,16.40145,1.151,1S.2P
2,1,P,1,0,S,18.40145,1.14,1S.2P
2,1,P,1,0,S,22.40145,1.09,1S.2P
2,1,P,1,0,S,26.40145,1.045,1S.2P
2,1,P,1,0,S,30.40145,1.011,1S.2P
2,1,P,1,0,S,34.40145,0.9856,1S.2P
2,1,P,1,0,S,38.40145,0.9623,1S.2P
2,1,P,1,0,S,46.40145,0.9154,1S.2P
2,1,P,1,0,S,54.40145,0.8732,1S.2P
2,1,P,1,0,S,62.40145,0.8355,1S.2P
2,1,P,1,0,S,70.40145,0.801,1S.2P
2,1,P,1,0,S,78.40145,0.7691,1S.2P
2,1,P,1,0,S,94.40145,0.7212,1S.2P
2,1,P,1,0,S,110.40145,0.6706,1S.2P
2,1,P,1,0,S,126.40145,0.6265,1S.2P
2,1,P,1,0,S,142.40145,0.5883,1S.2P
2,1,P,1,0,S,158.40145,0.5545,1S.2P
2,1,P,1,0,S,190.40145,0.5124,1S.2P
2,1,P,1,0,S,222.40145,0.4627,1S.2P
2,1,P,1,0,S,254.40145,0.4222,1S.2P
2,1,P,1,0,S,286.40145,0.3889,1S.2P
2,1,P,1,0,S,318.40145,0.3609,1S.2P
2,1,P,1,0,S,382.40145,0.3162,1S.2P
2,1,P,1,0,S,446.40145,0.282,1S.2P
2,1,P,1,0,S,510.40145,0.255,1S.2P
2,1,P,1,0,S,574.40145,0.2332,1S.2P
2,1,P,1,0,S,638.40145,0.2151,1S.2P
2,1,P,1,0,S,702.40145,0.1998,1S.2P
2,1,P,1,0,S,766.40145,0.1867,1S.2P
2,1,P,1,0,S,830.40145,0.1754,1S.2P
2,1,P,1,0,S,894.40145,0.1655,1S.2P
2,1,P,1,0,S,958.40145,0.1567,1S.2P
2,0,S,1,0,S,3.85e-05,81720.0,1S.2S
2,0,S,1,0,S,7.02e-05,43780.0,1S.2S
2,0,S,1,0,S,0.000128,23590.0,1S.2S
2,0,S,1,0,S,0.0002332,12790.0,1S.2S
2,0,S,1,0,S,0.0004249,6955.0,1S.2S
2,0,S,1,0,S,0.0007743,3781.0,1S.2S
2,0,S,1,0,S,0.0014108,2069.0,1S.2S
2,0,S,1,0,S,0.0025707,1155.0,1S.2S
2,0,S,1,0,S,0.0046841,672.7,1S.2S
2,0,S,1,0,S,0.008535,438.6,1S.2S
2,0,S,1,0,S,0.0155517,383.8,1S.2S
2,0,S,1,0,S,0.0283371,199.1,1S.2S
2,0,S,1,0,S,0.0516335,88.09,1S.2S
2,0,S,1,0,S,0.0940823,49.33,1S.2S
2,0,S,1,0,S,0.1714292,26.04,1S.2S
2,0,S,1,0,S,0.3123644,15.26,1S.2S
2,0,S,1,0,S,0.569165,9.826,1S.2S
2,0,S,1,0,S,1.0370863,6.915,1S.2S
2,0,S,1,0,S,1.8897392,3.665,1S.2S
2,0,S,1,0,S,1.8898431,3.675,1S.2S
2,0,S,1,0,S,1.8901882,3.69,1S.2S
2,0,S,1,0,S,1.8913338,3.721,1S.2S
2,0,S,1,0,S,1.8951375,3.693,1S.2S
2,0,S,1,0,S,1.9077661,3.548,1S.2S
2,0,S,1,0,S,1.9496946,3.421,1S.2S
2,0,S,1,0,S,2.0889022,3.097,1S.2S
2,0,S,1,0,S,2.5511563,2.623,1S.2S
2,0,S,1,0,S,2.5513161,2.621,1S.2S
2,0,S,1,0,S,2.5518463,2.617,1S.2S
2,0,S,1,0,S,2.5536069,2.611,1S.2S
2,0,S,1,0,S,2.5594521,2.599,1S.2S
2,0,S,1,0,S,2.578859,2.561,1S.2S
2,0,S,1,0,S,2.6432922,2.445,1S.2S
2,0,S,1,0,S,2.8574296,2.298,1S.2S
2,0,S,1,0,S,2.8580209,2.331,1S.2S
2,0,S,1,0,S,2.8602638,2.555,1S.2S
2,0,S,1,0,S,2.8687726,2.344,1S.2S
2,0,S,1,0,S,2.9010524,2.226,1S.2S
2,0,S,1,0,S,3.024625,2.208,1S.2S
2,0,S,1,0,S,3.0285032,2.234,1S.2S
2,0,S,1,0,S,3.0458842,2.193,1S.2S
2,0,S,1,0,S,3.1238491,2.145,1S.2S
2,0,S,1,0,S,3.1241607,2.124,1S.2S
2,0,S,1,0,S,3.1258913,2.122,1S.2S
2,0,S,1,0,S,3.13065,2.14,1S.2S
2,0,S,1,0,S,3.1355008,2.12,1S.2S
2,0,S,1,0,S,3.18897,2.062,1S.2S
2,0,S,1,0,S,3.1896766,2.046,1S.2S
2,0,S,1,0,S,3.1948978,2.079,1S.2S
2,0,S,1,0,S,3.29565,1.993,1S.2S
2,0,S,1,0,S,3.39565,1.97,1S.2S
2,0,S,1,0,S,3.49565,1.914,1S.2S
2,0,S,1,0,S,3.60145,1.817,1S.2S
2,0,S,1,0,S,3.80145,1.716,1S.2S
2,0,S,1,0,S,4.00145,1.64,1S.2S
2,0,S,1,0,S,4.20145,1.548,1S.2S
2,0,S,1,0,S,4.40145,1.494,1S.2S
2,0,S,1,0,S,5.40145,1.183,1S.2S
2,0,S,1,0,S,6.40145,0.9733,1S.2S
2,0,S,1,0,S,7.40145,0.8444,1S.2S
2,0,S,1,0,S,8.40145,0.7475,1S.2S
2,0,S,1,0,S,10.40145,0.6093,1S.2S
2,0,S,1,0,S,12.40145,0.5247,1S.2S
2,0,S,1,0,S,14.40145,0.4675,1S.2S
2,0,S,1,0,S,16.40145,0.4262,1S.2S
2,0,S,1,0,S,18.40145,0.3906,1S.2S
2,0,S,1,0,S,22.40145,0.3762,1S.2S
2,0,S,1,0,S,26.40145,0.3373,1S.2S
2,0,S,1,0,S,30.40145,0.3131,1S.2S
2,0,S,1,0,S,34.40145,0.2938,1S.2S
2,0,S,1,0,S,38.40145,0.2827,1S.2S
2,0,S,1,0,S,46.40145,0.255,1S.2S
2,0,S,1,0,S,54.40145,0.2272,1S.2S
2,0,S,1,0,S,62.40145,0.2067,1S.2S
2,0,S,1,0,S,70.40145,0.1886,1S.2S
2,0,S,1,0,S,78.40145,0.1739,1S.2S
2,0,S,1,0,S,94.40145,0.1491,1S.2S
2,0,S,1,0,S,110.40145,0.1319,1S.2S
2,0,S,1,0,S,126.40145,0.1183,1S.2S
2,0,S,1,0,S,142.40145,0.1074,1S.2S
2,0,S,1,0,S,158.40145,0.09843,1S.2S
2,0,S,1,0,S,190.40145,0.08402,1S.2S
2,0,S,1,0,S,222.40145,0.0741,1S.2S
2,0,S,1,0,S,254.40145,0.06637,1S.2S
2,0,S,1,0,S,286.40145,0.05977,1S.2S
2,0,S,1,0,S,318.40145,0.0543,1S.2S
2,0,S,1,0,S,382.40145,0.04591,1S.2S
2,0,S,1,0,S,446.40145,0.04006,1S.2S
2,0,S,1,0,S,510.40145,0.03429,1S.2S
2,0,S,1,0,S,574.40145,0.03083,1S.2S
2,0,S,1,0,S,638.40145,0.02792,1S.2S
2,0,S,1,0,S,702.40145,0.0255,1S.2S
2,0,S,1,0,S,766.40145,0.02346,1S.2S
2,0,S,1,0,S,830.40145,0.02173,1S.2S
2,0,S,1,0,S,894.40145,0.02023,1S.2S
2,0,S,1,0,S,958.40145,0.01892,1S.2S
3,2,D,1,0,S,4.48e-05,3852.0,1S.3D
3,2,D,1,0,S,0.0001487,1222.0,1S.3D
3,2,D,1,0,S,0.0004938,323.8,1S.3D
3,2,D,1,0,S,0.0016394,84.08,1S.3D
3,2,D,1,0,S,0.0054431,27.49,1S.3D
3,2,D,1,0,S,0.0180717,8.666,1S.3D
3,2,D,1,0,S,0.0600002,3.098,1S.3D
3,2,D,1,0,S,0.1992078,1.197,1S.3D
3,2,D,1,0,S,0.6614619,0.3528,1S.3D
3,2,D,1,0,S,0.6616217,0.3519,1S.3D
3,2,D,1,0,S,0.6621519,0.3489,1S.3D
3,2,D,1,0,S,0.6639125,0.3436,1S.3D
3,2,D,1,0,S,0.6697577,0.3368,1S.3D
3,2,D,1,0,S,0.6891646,0.3194,1S.3D
3,2,D,1,0,S,0.7535978,0.2899,1S.3D
3,2,D,1,0,S,0.9677352,0.2731,1S.3D
3,2,D,1,0,S,0.9683265,0.2661,1S.3D
3,2,D,1,0,S,0.9705694,0.2733,1S.3D
3,2,D,1,0,S,0.9790782,0.2394,1S.3D
3,2,D,1,0,S,1.011358,0.2207,1S.3D
3,2,D,1,0,S,1.1349306,0.2163,1S.3D
3,2,D,1,0,S,1.1388088,0.2166,1S.3D
3,2,D,1,0,S,1.1561898,0.2116,1S.3D
3,2,D,1,0,S,1.2341547,0.1906,1S.3D
3,2,D,1,0,S,1.2344663,0.1919,1S.3D
3,2,D,1,0,S,1.2361969,0.1909,1S.3D
3,2,D,1,0,S,1.2409556,0.1906,1S.3D
3,2,D,1,0,S,1.2458064,0.1968,1S.3D
3,2,D,1,0,S,1.2992756,0.1859,1S.3D
3,2,D,1,0,S,1.2999822,0.1838,1S.3D
3,2,D,1,0,S,1.3052034,0.1849,1S.3D
3,2,D,1,0,S,1.4059556,0.1741,1S.3D
3,2,D,1,0,S,1.5059556,0.1657,1S.3D
3,2,D,1,0,S,1.6059556,0.1668,1S.3D
3,2,D,1,0,S,1.7117556,0.151,1S.3D
3,2,D,1,0,S,1.9117556,0.1405,1S.3D
3,2,D,1,0,S,2.1117556,0.1305,1S.3D
3,2,D,1,0,S,2.3117556,0.1178,1S.3D
3,2,D,1,0,S,2.5117556,0.1141,1S.3D
3,2,D,1,0,S,3.5117556,0.08835,1S.3D
3,2,D,1,0,S,4.5117556,0.0737,1S.3D
3,2,D,1,0,S,5.5117556,0.06449,1S.3D
3,2,D,1,0,S,6.5117556,0.058,1S.3D
3,2,D,1,0,S,8.5117556,0.04795,1S.3D
3,2,D,1,0,S,10.5117556,0.04227,1S.3D
3,2,D,1,0,S,12.5117556,0.03673,1S.3D
3,2,D,1,0,S,14.5117556,0.03238,1S.3D
3,2,D,1,0,S,16.5117556,0.02964,1S.3D
3,2,D,1,0,S,20.5117556,0.02423,1S.3D
3,2,D,1,0,S,24.5117556,0.02129,1S.3D
3,2,D,1,0,S,28.5117556,0.01882,1S.3D
3,2,D,1,0,S,32.5117556,0.01687,1S.3D
3,2,D,1,0,S,36.5117556,0.01529,1S.3D
3,2,D,1,0,S,44.5117556,0.01305,1S.3D
3,2,D,1,0,S,52.5117556,0.01146,1S.3D
3,2,D,1,0,S,60.5117556,0.01012,1S.3D
3,2,D,1,0,S,68.5117556,0.008983,1S.3D
3,2,D,1,0,S,76.5117556,0.008058,1S.3D
3,2,D,1,0,S,92.5117556,0.006488,1S.3D
3,2,D,1,0,S,108.5117556,0.005514,1S.3D
3,2,D,1,0,S,124.5117556,0.004788,1S.3D
3,2,D,1,0,S,140.5117556,0.004208,1S.3D
3,2,D,1,0,S,156.5117556,0.003749,1S.3D
3,2,D,1,0,S,188.5117556,0.002976,1S.3D
3,2,D,1,0,S,220.5117556,0.002547,1S.3D
3,2,D,1,0,S,252.5117556,0.002224,1S.3D
3,2,D,1,0,S,284.5117556,0.00198,1S.3D
3,2,D,1,0,S,316.5117556,0.001785,1S.3D
3,2,D,1,0,S,380.5117556,0.001491,1S.3D
3,2,D,1,0,S,444.5117556,0.001275,1S.3D
3,2,D,1,0,S,508.5117556,0.001109,1S.3D
3,2,D,1,0,S,572.5117556,0.0009866,1S.3D
3,2,D,1,0,S,636.5117556,0.0008901,1S.3D
3,2,D,1,0,S,700.5117556,0.0008105,1S.3D
3,2,D,1,0,S,764.5117556,0.0007438,1S.3D
3,2,D,1,0,S,828.5117556,0.0006873,1S.3D
3,2,D,1,0,S,892.5117556,0.0006387,1S.3D
3,2,D,1,0,S,956.5117556,0.0005966,1S.3D
3,1,P,1,0,S,4.48e-05,12160.0,1S.3P
3,1,P,1,0,S,0.0001487,3641.0,1S.3P
3,1,P,1,0,S,0.0004938,1103.0,1S.3P
3,1,P,1,0,S,0.0016394,341.7,1S.3P
3,1,P,1,0,S,0.0054431,98.77,1S.3P
3,1,P,1,0,S,0.0180717,31.39,1S.3P
3,1,P,1,0,S,0.0600002,10.49,1S.3P
3,1,P,1,0,S,0.1992078,3.672,1S.3P
3,1,P,1,0,S,0.6614619,0.9826,1S.3P
3,1,P,1,0,S,0.6616217,0.982,1S.3P
3,1,P,1,0,S,0.6621519,0.9915,1S.3P
3,1,P,1,0,S,0.6639125,1.003,1S.3P
3,1,P,1,0,S,0.6697577,1.0,1S.3P
3,1,P,1,0,S,0.6891646,0.9681,1S.3P
3,1,P,1,0,S,0.7535978,0.9655,1S.3P
3,1,P,1,0,S,0.9677352,0.8145,1S.3P
3,1,P,1,0,S,0.9683265,0.8968,1S.3P
3,1,P,1,0,S,0.9705694,0.7773,1S.3P
3,1,P,1,0,S,0.9790782,0.7546,1S.3P
3,1,P,1,0,S,1.011358,0.7607,1S.3P
3,1,P,1,0,S,1.1349306,0.7066,1S.3P
3,1,P,1,0,S,1.1388088,0.6781,1S.3P
3,1,P,1,0,S,1.1561898,0.7218,1S.3P
3,1,P,1,0,S,1.2341547,0.6517,1S.3P
3,1,P,1,0,S,1.2344663,0.6378,1S.3P
3,1,P,1,0,S,1.2361969,0.5925,1S.3P
3,1,P,1,0,S,1.2409556,0.6349,1S.3P
3,1,P,1,0,S,1.2458064,0.6868,1S.3P
3,1,P,1,0,S,1.2992756,0.5881,1S.3P
3,1,P,1,0,S,1.2999822,0.6118,1S.3P
3,1,P,1,0,S,1.3052034,0.6211,1S.3P
3,1,P,1,0,S,1.4059556,0.5893,1S.3P
3,1,P,1,0,S,1.5059556,0.5671,1S.3P
3,1,P,1,0,S,1.6059556,0.5331,1S.3P
3,1,P,1,0,S,1.7117556,0.5159,1S.3P
3,1,P,1,0,S,1.9117556,0.4805,1S.3P
3,1,P,1,0,S,2.1117556,0.4489,1S.3P
3,1,P,1,0,S,2.3117556,0.4166,1S.3P
3,1,P,1,0,S,2.5117556,0.4038,1S.3P
3,1,P,1,0,S,3.5117556,0.3339,1S.3P
3,1,P,1,0,S,4.5117556,0.2919,1S.3P
3,1,P,1,0,S,5.5117556,0.2656,1S.3P
3,1,P,1,0,S,6.5117556,0.2505,1S.3P
3,1,P,1,0,S,8.5117556,0.2283,1S.3P
3,1,P,1,0,S,10.5117556,0.2161,1S.3P
3,1,P,1,0,S,12.5117556,0.2071,1S.3P
3,1,P,1,0,S,14.5117556,0.2002,1S.3P
3,1,P,1,0,S,16.5117556,0.1953,1S.3P
3,1,P,1,0,S,20.5117556,0.177,1S.3P
3,1,P,1,0,S,24.5117556,0.1725,1S.3P
3,1,P,1,0,S,28.5117556,0.166,1S.3P
3,1,P,1,0,S,32.5117556,0.1612,1S.3P
3,1,P,1,0,S,36.5117556,0.1579,1S.3P
3,1,P,1,0,S,44.5117556,0.1505,1S.3P
3,1,P,1,0,S,52.5117556,0.143,1S.3P
3,1,P,1,0,S,60.5117556,0.137,1S.3P
3,1,P,1,0,S,68.5117556,0.132,1S.3P
3,1,P,1,0,S,76.5117556,0.1273,1S.3P
3,1,P,1,0,S,92.5117556,0.1197,1S.3P
3,1,P,1,0,S,108.5117556,0.1117,1S.3P
3,1,P,1,0,S,124.5117556,0.1049,1S.3P
3,1,P,1,0,S,140.5117556,0.09841,1S.3P
3,1,P,1,0,S,156.5117556,0.09287,1S.3P
3,1,P,1,0,S,188.5117556,0.08636,1S.3P
3,1,P,1,0,S,220.5117556,0.07799,1S.3P
3,1,P,1,0,S,252.5117556,0.07117,1S.3P
3,1,P,1,0,S,284.5117556,0.0655,1S.3P
3,1,P,1,0,S,316.5117556,0.06073,1S.3P
3,1,P,1,0,S,380.5117556,0.05313,1S.3P
3,1,P,1,0,S,444.5117556,0.04734,1S.3P
3,1,P,1,0,S,508.5117556,0.04278,1S.3P
3,1,P,1,0,S,572.5117556,0.03908,1S.3P
3,1,P,1,0,S,636.5117556,0.036,1S.3P
3,1,P,1,0,S,700.5117556,0.03341,1S.3P
3,1,P,1,0,S,764.5117556,0.0312,1S.3P
3,1,P,1,0,S,828.5117556,0.02929,1S.3P
3,1,P,1,0,S,892.5117556,0.02761,1S.3P
3,1,P,1,0,S,956.5117556,0.02613,1S.3P
3,0,S,1,0,S,4.48e-05,18600.0,1S.3S
3,0,S,1,0,S,0.0001487,5315.0,1S.3S
3,0,S,1,0,S,0.0004938,1801.0,1S.3S
3,0,S,1,0,S,0.0016394,594.8,1S.3S
3,0,S,1,0,S,0.0054431,182.6,1S.3S
3,0,S,1,0,S,0.0180717,53.15,1S.3S
3,0,S,1,0,S,0.0600002,15.07,1S.3S
3,0,S,1,0,S,0.1992078,6.154,1S.3S
3,0,S,1,0,S,0.6614619,1.943,1S.3S
3,0,S,1,0,S,0.6616217,1.951,1S.3S
3,0,S,1,0,S,0.6621519,1.947,1S.3S
3,0,S,1,0,S,0.6639125,1.968,1S.3S
3,0,S,1,0,S,0.6697577,1.949,1S.3S
3,0,S,1,0,S,0.6891646,1.911,1S.3S
3,0,S,1,0,S,0.7535978,1.838,1S.3S
3,0,S,1,0,S,0.9677352,1.352,1S.3S
3,0,S,1,0,S,0.9683265,1.578,1S.3S
3,0,S,1,0,S,0.9705694,1.361,1S.3S
3,0,S,1,0,S,0.9790782,1.449,1S.3S
3,0,S,1,0,S,1.011358,1.327,1S.3S
3,0,S,1,0,S,1.1349306,1.298,1S.3S
3,0,S,1,0,S,1.1388088,1.325,1S.3S
3,0,S,1,0,S,1.1561898,1.338,1S.3S
3,0,S,1,0,S,1.2341547,1.155,1S.3S
3,0,S,1,0,S,1.2344663,1.134,1S.3S
3,0,S,1,0,S,1.2361969,1.179,1S.3S
3,0,S,1,0,S,1.2409556,1.212,1S.3S
3,0,S,1,0,S,1.2458064,1.301,1S.3S
3,0,S,1,0,S,1.2992756,1.155,1S.3S
3,0,S,1,0,S,1.2999822,1.114,1S.3S
3,0,S,1,0,S,1.3052034,1.118,1S.3S
3,0,S,1,0,S,1.4059556,1.053,1S.3S
3,0,S,1,0,S,1.5059556,0.9647,1S.3S
3,0,S,1,0,S,1.6059556,0.9715,1S.3S
3,0,S,1,0,S,1.7117556,0.8663,1S.3S
3,0,S,1,0,S,1.9117556,0.8035,1S.3S
3,0,S,1,0,S,2.1117556,0.7272,1S.3S
3,0,S,1,0,S,2.3117556,0.6686,1S.3S
3,0,S,1,0,S,2.5117556,0.6199,1S.3S
3,0,S,1,0,S,3.5117556,0.4309,1S.3S
3,0,S,1,0,S,4.5117556,0.3239,1S.3S
3,0,S,1,0,S,5.5117556,0.2526,1S.3S
3,0,S,1,0,S,6.5117556,0.212,1S.3S
3,0,S,1,0,S,8.5117556,0.1541,1S.3S
3,0,S,1,0,S,10.5117556,0.121,1S.3S
3,0,S,1,0,S,12.5117556,0.1002,1S.3S
3,0,S,1,0,S,14.5117556,0.08558,1S.3S
3,0,S,1,0,S,16.5117556,0.07543,1S.3S
3,0,S,1,0,S,20.5117556,0.07571,1S.3S
3,0,S,1,0,S,24.5117556,0.06975,1S.3S
3,0,S,1,0,S,28.5117556,0.06479,1S.3S
3,0,S,1,0,S,32.5117556,0.0599,1S.3S
3,0,S,1,0,S,36.5117556,0.05547,1S.3S
3,0,S,1,0,S,44.5117556,0.05058,1S.3S
3,0,S,1,0,S,52.5117556,0.04616,1S.3S
3,0,S,1,0,S,60.5117556,0.04232,1S.3S
3,0,S,1,0,S,68.5117556,0.03865,1S.3S
3,0,S,1,0,S,76.5117556,0.03552,1S.3S
3,0,S,1,0,S,92.5117556,0.03024,1S.3S
3,0,S,1,0,S,108.5117556,0.02644,1S.3S
3,0,S,1,0,S,124.5117556,0.02365,1S.3S
3,0,S,1,0,S,140.5117556,0.02141,1S.3S
3,0,S,1,0,S,156.5117556,0.0196,1S.3S
3,0,S,1,0,S,188.5117556,0.01663,1S.3S
3,0,S,1,0,S,220.5117556,0.01467,1S.3S
3,0,S,1,0,S,252.5117556,0.01312,1S.3S
3,0,S,1,0,S,284.5117556,0.01184,1S.3S
3,0,S,1,0,S,316.5117556,0.01077,1S.3S
3,0,S,1,0,S,380.5117556,0.009113,1S.3S
3,0,S,1,0,S,444.5117556,0.007935,1S.3S
3,0,S,1,0,S,508.5117556,0.006747,1S.3S
3,0,S,1,0,S,572.5117556,0.006075,1S.3S
3,0,S,1,0,S,636.5117556,0.005522,1S.3S
3,0,S,1,0,S,700.5117556,0.00505,1S.3S
3,0,S,1,0,S,764.5117556,0.004648,1S.3S
3,0,S,1,0,S,828.5117556,0.004305,1S.3S
3,0,S,1,0,S,892.5117556,0.004009,1S.3S
3,0,S,1,0,S,956.5117556,0.00375,1S.3S
4,2,D,1,0,S,6.88e-05,1432.0,1S.4D
4,2,D,1,0,S,0.0002286,461.8,1S.4D
4,2,D,1,0,S,0.0007588,142.0,1S.4D
4,2,D,1,0,S,0.0025194,37.54,1S.4D
4,2,D,1,0,S,0.0083646,11.43,1S.4D
4,2,D,1,0,S,0.0277715,4.215,1S.4D
4,2,D,1,0,S,0.0922047,1.449,1S.4D
4,2,D,1,0,S,0.3063421,0.2885,1S.4D
4,2,D,1,0,S,0.3069334,0.3221,1S.4D
4,2,D,1,0,S,0.3091763,0.2276,1S.4D
4,2,D,1,0,S,0.3176851,0.2411,1S.4D
4,2,D,1,0,S,0.3499649,0.3074,1S.4D
4,2,D,1,0,S,0.4735375,0.2344,1S.4D
4,2,D,1,0,S,0.4774157,0.1779,1S.4D
4,2,D,1,0,S,0.4947967,0.2253,1S.4D
4,2,D,1,0,S,0.5727616,0.1681,1S.4D
4,2,D,1,0,S,0.5730732,0.1588,1S.4D
4,2,D,1,0,S,0.5748038,0.1668,1S.4D
4,2,D,1,0,S,0.5795625,0.1814,1S.4D
4,2,D,1,0,S,0.5844133,0.168,1S.4D
4,2,D,1,0,S,0.6378825,0.1572,1S.4D
4,2,D,1,0,S,0.6385891,0.1669,1S.4D
4,2,D,1,0,S,0.6438103,0.1584,1S.4D
4,2,D,1,0,S,0.7445625,0.1407,1S.4D
4,2,D,1,0,S,0.8445625,0.1156,1S.4D
4,2,D,1,0,S,0.9445625,0.1043,1S.4D
4,2,D,1,0,S,1.0503625,0.1028,1S.4D
4,2,D,1,0,S,1.2503625,0.0908,1S.4D
4,2,D,1,0,S,1.4503625,0.08088,1S.4D
4,2,D,1,0,S,1.6503625,0.0727,1S.4D
4,2,D,1,0,S,1.8503625,0.06776,1S.4D
4,2,D,1,0,S,2.8503625,0.05002,1S.4D
4,2,D,1,0,S,3.8503625,0.04064,1S.4D
4,2,D,1,0,S,4.8503625,0.0345,1S.4D
4,2,D,1,0,S,5.8503625,0.03047,1S.4D
4,2,D,1,0,S,7.8503625,0.02476,1S.4D
4,2,D,1,0,S,9.8503625,0.02097,1S.4D
4,2,D,1,0,S,11.8503625,0.01873,1S.4D
4,2,D,1,0,S,13.8503625,0.01671,1S.4D
4,2,D,1,0,S,15.8503625,0.01479,1S.4D
4,2,D,1,0,S,19.8503625,0.0109,1S.4D
4,2,D,1,0,S,23.8503625,0.009752,1S.4D
4,2,D,1,0,S,27.8503625,0.008586,1S.4D
4,2,D,1,0,S,31.8503625,0.007967,1S.4D
4,2,D,1,0,S,35.8503625,0.007331,1S.4D
4,2,D,1,0,S,43.8503625,0.006239,1S.4D
4,2,D,1,0,S,51.8503625,0.005463,1S.4D
4,2,D,1,0,S,59.8503625,0.004868,1S.4D
4,2,D,1,0,S,67.8503625,0.004346,1S.4D
4,2,D,1,0,S,75.8503625,0.003906,1S.4D
4,2,D,1,0,S,91.8503625,0.00314,1S.4D
4,2,D,1,0,S,107.8503625,0.002665,1S.4D
4,2,D,1,0,S,123.8503625,0.002305,1S.4D
4,2,D,1,0,S,139.8503625,0.002023,1S.4D
4,2,D,1,0,S,155.8503625,0.001801,1S.4D
4,2,D,1,0,S,187.8503625,0.00142,1S.4D
4,2,D,1,0,S,219.8503625,0.001214,1S.4D
4,2,D,1,0,S,251.8503625,0.001059,1S.4D
4,2,D,1,0,S,283.8503625,0.0009422,1S.4D
4,2,D,1,0,S,315.8503625,0.0008487,1S.4D
4,2,D,1,0,S,379.8503625,0.0007082,1S.4D
4,2,D,1,0,S,443.8503625,0.0006058,1S.4D
4,2,D,1,0,S,507.8503625,0.0005261,1S.4D
4,2,D,1,0,S,571.8503625,0.0004681,1S.4D
